Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/assets-forecast,assets-forecast,chartError,Forecast historic charts could not be loaded. Please try again.,No se pudieron cargar los gráficos históricos del pronóstico. Inténtalo de nuevo.,,Pendiente,
componentes/assets-forecast,assets-forecast,chartSectionTitle,Forecast Poll Charts,Gráficos de la Encuesta de Pronóstico,,Pendiente,
componentes/assets-forecast,assets-forecast,contributorsSectionTitle,Contributors,Colaboradores,,Pendiente,
componentes/assets-forecast,assets-forecast,faqsTitle,FAQs,Preguntas frecuentes,,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[0].answer,"<p><strong>Overview:</strong> This chart informs about the average forecast prices, and also how close (or far apart) sit the numbers from all participants surveyed that week. The bigger a bubble on the chart means more participants targeting a certain price level in that particular time horizon. This distribution also tells if there is unanimity (or disparity) among participants.</p><p><strong>Bias:</strong> Each participant's bias is calculated automatically based on the week's close price and recent volatility. Drawing from those results, this chart calculates the distribution of bullish, bearish, and sideways forecast prices from all participants, informing about sentiment extremes, as well levels of indecision reflected in the number of ""sideways"".</p><p><strong>Averages:</strong> By displaying three central tendency measures (mean, median, and mode), you can know if the average forecast is being skewed by any outlier among the poll participants.</p><p><strong>Shifted price:</strong> In this chart, the close price is shifted behind so it corresponds to the date when the price for that week was forecasted. This enables the comparison between the average forecast price and the effective close price.</p><p><strong>Price change:</strong> This chart tracks the percentage change between the close prices. Bouts of volatility (or extreme flat volatility) can be then compared to the typical outcome expressed through the averages.</p><p><strong>Smooth average:</strong> This measure is basically an arithmetical average of the three central tendency measures (mean, median, and mode). It smooths the typical outcome eliminating any possible noise caused by outliers.</p><p><strong>Min/Max:</strong> Together with the close price, this chart displays the minimum and maximum forecast prices collected among individual participants. The result is a price corridor, usually enveloping the weekly close price from above and below, and serves as a measure of volatility.</p>","<p><strong>Resumen:</strong> Este gráfico informa sobre los precios medios de pronóstico y también qué tan cerca (o lejos) están los números de todos los participantes encuestados esa semana. Cuanto más grande es una burbuja en el gráfico, más participantes apuntan a un cierto nivel de precio en ese horizonte temporal. Esta distribución también indica si hay unanimidad (o disparidad) entre los participantes.</p><p><strong>Sesgo:</strong> El sesgo de cada participante se calcula automáticamente en función del precio de cierre de la semana y la volatilidad reciente. A partir de esos resultados, este gráfico calcula la distribución de precios de pronóstico alcistas, bajistas y laterales de todos los participantes, informando sobre extremos de sentimiento, así como niveles de indecisión reflejados en el número de ""laterales"".</p><p><strong>Promedios:</strong> Al mostrar tres medidas de tendencia central (media, mediana y moda), puede saber si el pronóstico medio está sesgado por algún valor atípico entre los participantes de la encuesta.</p><p><strong>Precio desplazado:</strong> En este gráfico, el precio de cierre se desplaza hacia atrás para que corresponda a la fecha en que se pronosticó el precio de esa semana. Esto permite comparar el precio medio de pronóstico con el precio de cierre efectivo.</p><p><strong>Cambio de precio:</strong> Este gráfico rastrea el cambio porcentual entre los precios de cierre. Los periodos de volatilidad (o volatilidad plana extrema) pueden compararse con el resultado típico expresado a través de los promedios.</p><p><strong>Promedio suavizado:</strong> Esta medida es básicamente un promedio aritmético de las tres medidas de tendencia central (media, mediana y moda). Suaviza el resultado típico eliminando cualquier posible ruido causado por valores atípicos.</p><p><strong>Mín/Máx:</strong> Junto con el precio de cierre, este gráfico muestra los precios mínimos y máximos de pronóstico recopilados entre los participantes individuales. El resultado es un corredor de precios, que generalmente envuelve el precio de cierre semanal por arriba y por abajo, y sirve como medida de volatilidad.</p>",,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[0].question,How to Read the Forecast Poll charts?,¿Cómo leer los gráficos de la Encuesta de Pronóstico?,,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[1].answer,"<p>The Forecast Poll is a <strong>sentiment tool</strong> that highlights near and medium-term price expectations from leading market experts. It is a sentiment indicator which delivers <strong>actionable price levels</strong>, not merely ""mood"" or ""positioning"" indications. Traders can check if there is <strong>unanimity</strong> among the surveyed experts – if there is excessive speculator sentiment driving a market – or if there are <strong>divergences</strong> among them. When sentiment is not at extremes, traders get actionable price targets to trade upon. When there is a deviation between actual market rate and value reflected in forecasted rate, there is usually an opportunity to enter the market.</p><p>You can also use the Outlook Poll for <strong>contrarian thinking strategies</strong>. Gonçalo Moreira, Research expert at FXStreet, explains: ""People involuntarily follow the impulses of the crowd. Sentiment indicators, in turn, lead to 'contrarian' thinking. The Di helps traders detect sentiment extremes and thereby limit their eventual toxic herd behavior."" <a href=""https://www.fxstreet.com/education/contrarian-approaches-with-sentiment-indicators-201609190904"">Read more on Contrarian Approaches with Sentiment indicators</a></p>","<p>La Encuesta de Pronóstico es una <strong>herramienta de sentimiento</strong> que destaca las expectativas de precios a corto y medio plazo de los principales expertos del mercado. Es un indicador de sentimiento que ofrece <strong>niveles de precios accionables</strong>, no meramente indicaciones de «estado de ánimo» o «posicionamiento». Los traders pueden comprobar si hay <strong>unanimidad</strong> entre los expertos encuestados, si hay un sentimiento especulativo excesivo impulsando un mercado, o si existen <strong>divergencias</strong> entre ellos. Cuando el sentimiento no está en niveles extremos, los traders obtienen objetivos de precio accionables sobre los que operar. Cuando hay una desviación entre el tipo de mercado real y el valor reflejado en el tipo pronosticado, suele haber una oportunidad para entrar en el mercado.</p><p>También puede usar la Encuesta de Pronóstico para <strong>estrategias de pensamiento contrario</strong>. Gonçalo Moreira, experto en investigación de FXStreet, explica: ""Las personas siguen involuntariamente los impulsos de la multitud. Los indicadores de sentimiento, a su vez, conducen al pensamiento 'contrario'. El Di ayuda a los traders a detectar extremos de sentimiento y así limitar su eventual comportamiento de rebaño tóxico."" <a href=""https://www.fxstreet.es/education/contrarian-approaches-with-sentiment-indicators-201609190904"">Leer más sobre enfoques contrarios con indicadores de sentimiento</a></p>",,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[1].question,What is the Forex Forecast Poll and why to use it?,¿Qué es la Encuesta de Pronóstico Forex y por qué usarla?,,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[2].answer,"<p>Besides the table with all participants’ individual predict, a graphic representation aggregates and visualizes the data: the Bullish/Bearish/Sideways line shows the percentage of our contributors on each of these outlook biases.</p><p>This graph is available for each time horizon (1 week, 1 month, 1 quarter). We also indicate the average price predict as well as the average bias.</p>","<p>Además de la tabla con la predicción individual de todos los participantes, una representación gráfica agrega y visualiza los datos: la línea Alcista/Bajista/Lateral muestra el porcentaje de nuestros colaboradores en cada uno de estos sesgos de perspectiva.</p><p>Este gráfico está disponible para cada horizonte temporal (1 semana, 1 mes, 1 trimestre). También indicamos el pronóstico de precio medio así como el sesgo medio.</p>",,Pendiente,
componentes/assets-forecast,assets-forecast,faqs[2].question,How to read the graphs?,¿Cómo leer los gráficos?,,Pendiente,
