Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.faqs[0].answer,"<p>The Consumer Price Index released by the <a href=""https://www.bls.gov/"">US Bureau of Labor Statistics</a> measures price movements by comparing the retail prices of a representative basket of goods and services. Inflation reduces the purchasing power of the US Dollar (USD), and the CPI is a key indicator to measure inflation and changes in purchasing trends. Generally, a higher CPI reading is seen as positive (bullish) for the USD, while a lower reading is viewed as negative (bearish).</p>","<p>El Índice de Precios al Consumo publicado por la <a href=""https://www.bls.gov/"">Oficina de Estadísticas Laborales de EE.UU.</a> mide los movimientos de precios comparando los precios minoristas de una cesta representativa de bienes y servicios. La inflación reduce el poder adquisitivo del dólar estadounidense (USD), y el CPI es un indicador clave para medir la inflación y los cambios en las tendencias de consumo. En general, una lectura más alta del CPI se considera positiva (alcista) para el USD, mientras que una lectura más baja se ve como negativa (bajista).</p>",,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.faqs[0].question,What is the US CPI?,¿Qué es el CPI de EE.UU.?,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.faqs[1].answer,"<p>The US Federal Reserve (Fed) has a dual mandate: to maintain price stability and achieve maximum employment. As part of this mandate, inflation is targeted at around 2%. Inflation became a critical challenge for the Fed, especially in the aftermath of the Covid-19 pandemic, with the CPI reaching multi-decade highs due to persistent supply-chain issues and bottlenecks. The Fed decided to increase interest rates sharply to tame inflation.</p>","<p>La Reserva Federal de EE.UU. (Fed) tiene un doble mandato: mantener la estabilidad de precios y lograr el máximo empleo. Como parte de este mandato, la inflación se orienta hacia alrededor del 2%. La inflación se convirtió en un desafío crítico para la Fed, especialmente tras la pandemia de Covid-19, con el CPI alcanzando máximos de varias décadas debido a problemas persistentes en la cadena de suministro y cuellos de botella. La Fed decidió subir los tipos de interés de forma pronunciada para contener la inflación.</p>",,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.faqs[1].question,Why it matters to traders?,¿Por qué importa a los traders?,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.seo.description,What to expect from the US Consumer Price Index. News and analysis on CPI inflation and its impact on the US Dollar and forex markets.,Qué esperar del Índice de Precios al Consumo de EE.UU. Noticias y análisis sobre la inflación CPI y su impacto en el dólar y los mercados forex.,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.seo.keywords,"cpi, consumer price index, us inflation, forex, usd","cpi, ipc, inflación eeuu, forex, usd",,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.seo.pageTitle,Consumer Price Index,Índice de Precios al Consumo,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.seo.socialImageUrl,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-building-gm490074826-75019399_XtraSmall.jpg,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-building-gm490074826-75019399_XtraSmall.jpg,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.cpi.seo.title,Consumer Price Index - Economic Indicator,Índice de Precios al Consumo - Indicador económico,,Pendiente,
componentes/economic-indicator-detail,economic-indicator-detail,indicators.nfp.faqs[0].answer,"<p>The Nonfarm Payrolls (NFP) report is arguably one of the biggest market movers in the Forex. The NFP figure can influence the decisions of the Federal Reserve (Fed) by providing a measure of how successfully the Fed is meeting its mandate of fostering full employment and 2% inflation.</p><p>A relatively high NFP figure means more people are in employment, earning more money and therefore probably spending more. A relatively low Nonfarm Payrolls' result, on the either hand, could mean people are struggling to find work.</p><p>The Fed will typically raise interest rates to combat high inflation triggered by low unemployment and lower them to stimulate a stagnant labor market.</p>","<p>El informe de nóminas no agrícolas (NFP) es, probablemente, uno de los datos que más mueven el mercado Forex. La cifra de NFP puede influir en las decisiones de la Reserva Federal (Fed) al ofrecer una medida de hasta qué punto la Fed cumple su mandato de fomentar el pleno empleo y una inflación del 2%.</p><p>Una cifra de NFP relativamente alta significa que más personas están empleadas, ganan más dinero y, por tanto, probablemente gastan más. Un resultado relativamente bajo de nóminas no agrícolas, en cambio, podría indicar que la gente tiene dificultades para encontrar trabajo.</p><p>La Fed suele subir los tipos de interés para combatir una inflación elevada provocada por un desempleo bajo y bajarlos para estimular un mercado laboral estancado.</p>",,Pendiente,
