Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/forecast,forecast,assetForecastPoll,{assetName} Forecast Poll,Encuesta de Pronóstico de {assetName},,Pendiente,
componentes/forecast,forecast,assetForecastPollDescription,Interested in weekly BTC/USD forecast? Our experts make weekly updates forecasting the next possible moves of the bitcoin-dollar pair. Here you can find the most recent forecast by our market experts:,¿Estás interesado en el pronóstico semanal de BTC/USD? Nuestros expertos hacen actualizaciones semanales pronosticando los posibles movimientos del par bitcoin-dólar. Aquí puedes encontrar el pronóstico más reciente por parte de nuestros expertos de mercado:,,Pendiente,
componentes/forecast,forecast,description,"The <strong>Forex Forecast</strong> is a currency sentiment tool that highlights our selected experts' near and medium term mood and calculates trends according to Friday's 15:00 GMT price. The <strong>#FXpoll</strong> is not to be taken as signal or as final target, but as an <strong>exchange rates</strong> heat map of where sentiment and expectations are going.","El <strong>Pronóstico Forex</strong> es una herramienta de sentimiento de divisas que destaca el estado de ánimo a corto y medio plazo de nuestros expertos seleccionados y calcula las tendencias según el precio del viernes a las 15:00 GMT. El <strong>#FXpoll</strong> no debe tomarse como una señal ni como un objetivo final, sino como un mapa de calor de los <strong>tipos de cambio</strong> de hacia dónde se dirigen el sentimiento y las expectativas.",,Pendiente,
componentes/forecast,forecast,faqsTitle,Forex Forecast Poll FAQs,Preguntas frecuentes sobre la Encuesta de Pronóstico Forex,,Pendiente,
componentes/forecast,forecast,faqs[0].answer,"<p>The Forex Forecast Poll is a sentiment tool that highlights near- and medium-term price expectations from leading market experts.</p><ul><li><strong>Unique sentiment indicator</strong> with a <strong>5-year history</strong></li><li>For <strong>10 currency pairs</strong> (EURUSD, GBPUSD, USDJPY, USDCHF, AUDUSD, NZDUSD, USDCAD, GBPJPY, EURJPY, EURGBP)</li><li>Survey conducted <strong>every Friday</strong> and published at 15:00 GMT</li><li>Serves <strong>all time horizons</strong>: 1 week, 1 month, 1 quarter - includes an average price for each time horizon</li><li><strong>Followed by</strong> traders, market commentators as well as academics</li></ul><p>The #FXpoll is not to be taken as signal or as final target, but as an <strong>exchange rates heat map</strong> of where sentiment and expectations are going.</p>","<p>La Encuesta de Pronóstico Forex es una herramienta de sentimiento que destaca las expectativas de precios a corto y medio plazo de los principales expertos del mercado.</p><ul><li><strong>Indicador de sentimiento único</strong> con un <strong>historial de 5 años</strong></li><li>Para <strong>10 pares de divisas</strong> (EURUSD, GBPUSD, USDJPY, USDCHF, AUDUSD, NZDUSD, USDCAD, GBPJPY, EURJPY, EURGBP)</li><li>Encuesta realizada <strong>todos los viernes</strong> y publicada a las 15:00 GMT</li><li>Cubre <strong>todos los horizontes temporales</strong>: 1 semana, 1 mes, 1 trimestre: incluye un precio medio para cada horizonte temporal</li><li><strong>Seguida por</strong> traders, comentaristas de mercado y también académicos</li></ul><p>El #FXpoll no debe tomarse como una señal ni como un objetivo final, sino como un <strong>mapa de calor de los tipos de cambio</strong> de hacia dónde se dirigen el sentimiento y las expectativas.</p>",,Pendiente,
componentes/forecast,forecast,faqs[0].question,What is the Forex Forecast Poll?,¿Qué es la Encuesta de Pronóstico Forex?,,Pendiente,
componentes/forecast,forecast,faqs[1].answer,"<p>Besides the table with all participants’ individual prediction, a graphic representation aggregates and visualizes the data: the <strong>Bullish/Bearish/Sideways line</strong> shows the percentage of our contributors on each of these outlook biases.</p><p>This graph is available for each time horizon (1 week, 1 month, 1 quarter). We also indicate the average price forecast as well as the average bias.</p>","<p>Además de la tabla con la predicción individual de todos los participantes, una representación gráfica agrega y visualiza los datos: la <strong>línea Alcista/Bajista/Lateral</strong> muestra el porcentaje de nuestros colaboradores en cada uno de estos sesgos de perspectiva.</p><p>Este gráfico está disponible para cada horizonte temporal (1 semana, 1 mes, 1 trimestre). También indicamos el pronóstico de precio medio así como el sesgo medio.</p>",,Pendiente,
componentes/forecast,forecast,faqs[1].question,How to read the graphs?,¿Cómo leer los gráficos?,,Pendiente,
componentes/forecast,forecast,faqs[2].answer,"<p>Our unique Forex Forecast poll offers you:</p><ul><li><strong>A sentiment indicator</strong> which delivers actionable price levels, not merely “mood” or “positioning” indications. Traders can check if there is unanimity among the surveyed experts - if there is excessive speculator sentiment driving a market - or if there are divergences among them. When sentiment is not at extremes, traders get actionable price targets to trade upon. When there is deviation between actual market rate and value reflected in forecasted rate, there is usually an opportunity to enter the market.</li><li><strong>No lag in the data</strong>: Contrary to other indicators, there is no delay.</li><li><strong>A very useful tool to combine</strong> with other types of analysis of technical nature or based on fundamental macro data, like <a href=""https://www.fxstreet.com/rates-charts/rates"">trading positions</a>, <a href=""https://www.fxstreet.com/rates-charts/rates"">rates table</a> or <a href=""https://www.fxstreet.com/rates-charts/chart"">live chart</a>.</li><li><strong>Significant sentiment data</strong>, based on a representative sample of 25 to 50 leading trading advisors for 5 years. Do not follow a single guru but rather a balanced group of well chosen experts. The Forex Forecast Poll offers a condensed version of several expert’s opinions. Only outlooks are considered that have been committed to publication and therefore have an influence on the market.</li><li><strong>A tool for Contrarian thinking</strong>: People instinctively follow the impulses of the crowd. Sentiment indicators, in turn, lead to “contrarian” thinking. You can read sentiment extremes and avoid being one of the herd. Contrast own opinions and price outlook with a group of leading trading advisors and money managers.</li><li><strong>A tool to build strategies upon prediction data</strong>: Find patterns data for instance if a trend is gaining or losing energy.</li></ul>","<p>Nuestra exclusiva Encuesta de Pronóstico Forex le ofrece:</p><ul><li><strong>Un indicador de sentimiento</strong> que proporciona niveles de precios accionables, no meramente indicaciones de «estado de ánimo» o «posicionamiento». Los traders pueden comprobar si existe unanimidad entre los expertos encuestados, si hay un sentimiento especulativo excesivo impulsando un mercado, o si existen divergencias entre ellos. Cuando el sentimiento no está en niveles extremos, los traders obtienen objetivos de precio accionables sobre los que operar. Cuando hay una desviación entre el tipo de mercado real y el valor reflejado en el tipo pronosticado, suele haber una oportunidad para entrar en el mercado.</li><li><strong>Sin retraso en los datos</strong>: a diferencia de otros indicadores, no hay demora.</li><li><strong>Una herramienta muy útil para combinar</strong> con otros tipos de análisis de naturaleza técnica o basados en datos macroeconómicos fundamentales, como las <a href=""https://www.fxstreet.com/rates-charts/rates"">posiciones de trading</a>, la <a href=""https://www.fxstreet.com/rates-charts/rates"">tabla de tipos</a> o el <a href=""https://www.fxstreet.com/rates-charts/chart"">gráfico en vivo</a>.</li><li><strong>Datos de sentimiento significativos</strong>, basados en una muestra representativa de 25 a 50 destacados asesores de trading durante 5 años. No siga a un único gurú, sino a un grupo equilibrado de expertos bien elegidos. La Encuesta de Pronóstico Forex ofrece una versión condensada de las opiniones de varios expertos. Solo se consideran las perspectivas que se han comprometido a su publicación y que, por tanto, tienen una influencia en el mercado.</li><li><strong>Una herramienta para el pensamiento contrario</strong>: las personas siguen instintivamente los impulsos de la multitud. Los indicadores de sentimiento, a su vez, conducen a un pensamiento «contrario». Puede leer los extremos del sentimiento y evitar ser uno más del rebaño. Contraste sus propias opiniones y perspectivas de precios con un grupo de destacados asesores de trading y gestores de fondos.</li><li><strong>Una herramienta para construir estrategias a partir de los datos de pronóstico</strong>: encuentre patrones en los datos, por ejemplo si una tendencia está ganando o perdiendo fuerza.</li></ul>",,Pendiente,
componentes/forecast,forecast,faqs[2].question,Why should I use it?,¿Por qué debería usarla?,,Pendiente,
