Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/about-us,about-us,collaboration.partnerContent,Partner with FXStreet to connect with the right audience and gain access to valuable opportunities in the financial markets,Asóciate con FXStreet para conectar con la audiencia adecuada y obtener acceso a valiosas oportunidades en los mercados financieros,,Pendiente,
componentes/about-us,about-us,collaboration.partnerLink,https://editorial.fxsstatic.com/pdfs/fxstreet-media-kit.pdf,https://editorial.fxsstatic.com/pdfs/fxstreet-media-kit.pdf,,Pendiente,
componentes/about-us,about-us,collaboration.partnerLinkText,Learn more in our media kit,Más información en nuestro kit de medios,,Pendiente,
componentes/about-us,about-us,collaboration.partnerTitle,Become a partner,Conviértete en socio,,Pendiente,
componentes/about-us,about-us,collaboration.title,Collaboration,Colaboración,,Pendiente,
componentes/about-us,about-us,collaboration.workContent,"FXStreet thrives on innovation, collaboration, and expertise. Join a team that challenges the status quo and shapes the future of dynamic financial markets.","FXStreet prospera en la innovación, colaboración y experiencia. Únete a un equipo que desafía el status quo y da forma al futuro de los mercados financieros dinámicos.",,Pendiente,
componentes/about-us,about-us,collaboration.workLink,/info/jobs,/info/jobs,,Pendiente,
componentes/about-us,about-us,collaboration.workLinkText,Explore career opportunities,Explora oportunidades de carrera,,Pendiente,
componentes/about-us,about-us,collaboration.workTitle,Work with us,Trabaja con nosotros,,Pendiente,
componentes/about-us,about-us,inTheNews.title,In the news,En las noticias,,Pendiente,
componentes/about-us,about-us,intro,"<strong>FXStreet is more than just a news website —</strong> it's a trusted platform offering valuable market insights, analysis, and tools for informed decision-making. As an independent company, FXStreet remains committed to providing impartial information and tools for traders worldwide. With services like real-time news, expert analysis, broker reviews, an economic calendar, and market data, <strong>FXStreet empowers traders to navigate dynamic financial markets with confidence.</strong>","<strong>FXStreet es más que un sitio web de noticias —</strong> es una plataforma confiable que ofrece información valiosa del mercado, análisis y herramientas para la toma de decisiones informadas. Como empresa independiente, FXStreet se mantiene comprometida a proporcionar información y herramientas imparciales para traders de todo el mundo. Con servicios como noticias en tiempo real, análisis experto, reseñas de brokers, un calendario económico y datos de mercado, <strong>FXStreet empodera a los traders para navegar los mercados financieros dinámicos con confianza.</strong>",,Pendiente,
componentes/about-us,about-us,leadership.ceosTitle,CEOs,CEOs,,Pendiente,
componentes/about-us,about-us,leadership.ceos[0].name,Javier Hertfelder,Javier Hertfelder,,Pendiente,
componentes/about-us,about-us,leadership.ceos[1].name,Pere Monguió,Pere Monguió,,Pendiente,
componentes/about-us,about-us,leadership.foundersTitle,Founders,Fundadores,,Pendiente,
componentes/about-us,about-us,leadership.founders[0].name,Francesc Riverola,Francesc Riverola,,Pendiente,
componentes/about-us,about-us,leadership.founders[1].name,Míriam Pinatell,Míriam Pinatell,,Pendiente,
componentes/about-us,about-us,leadership.founders[2].name,Setxi Fernández,Setxi Fernández,,Pendiente,
componentes/about-us,about-us,leadership.title,Leadership team,Equipo de liderazgo,,Pendiente,
componentes/about-us,about-us,meetUs.content,Join our +1 Million traders on social media!,¡Únete a nuestros +1 millón de traders en redes sociales!,,Pendiente,
componentes/about-us,about-us,meetUs.title,Meet us,Encuéntranos,,Pendiente,
componentes/about-us,about-us,office.address,"Barcelona, 7, Portaferrissa Street, 08002","Barcelona, Calle Portaferrissa 7, 08002",,Pendiente,
componentes/about-us,about-us,office.content1,"FXStreet's office is based in Barcelona, in a small pedestrian street that goes from the famous Ramblas to the Gothic Cathedral. The office is in a beautiful palace called ""Palau Palmerola"". This building preserves remains of the XVIII century and was rebuilt in 1857.","La oficina de FXStreet está ubicada en Barcelona, en una pequeña calle peatonal que va desde las famosas Ramblas hasta la Catedral Gótica. La oficina está en un hermoso palacio llamado ""Palau Palmerola"". Este edificio conserva restos del siglo XVIII y fue reconstruido en 1857.",,Pendiente,
componentes/about-us,about-us,office.content2,"To ensure the best coverage 24/7, FXStreet also has employees all around the world, from the USA to Argentina, passing through Egypt, Indonesia, India, the UK, Turkey, Vietnam, and more!","Para garantizar la mejor cobertura 24/7, FXStreet también tiene empleados en todo el mundo, desde EE.UU. hasta Argentina, pasando por Egipto, Indonesia, India, Reino Unido, Turquía, Vietnam, ¡y más!",,Pendiente,
componentes/about-us,about-us,office.mapLink,https://maps.app.goo.gl/bT188Texdjfr14sD7,https://maps.app.goo.gl/bT188Texdjfr14sD7,,Pendiente,
componentes/about-us,about-us,office.title,Our office,Nuestra oficina,,Pendiente,
componentes/about-us,about-us,philosophy.mission,Mission,Misión,,Pendiente,
componentes/about-us,about-us,philosophy.missionContent,We help financial traders in their journey.,Ayudamos a los traders financieros en su viaje.,,Pendiente,
componentes/about-us,about-us,philosophy.title,Philosophy,Filosofía,,Pendiente,
componentes/about-us,about-us,philosophy.valuesTitle,Values,Valores,,Pendiente,
componentes/about-us,about-us,philosophy.values[0].icon,compass,compass,,Pendiente,
componentes/about-us,about-us,philosophy.values[0].label,Independent,Independiente,,Pendiente,
componentes/about-us,about-us,philosophy.values[1].icon,heart,heart,,Pendiente,
componentes/about-us,about-us,philosophy.values[1].label,Honest,Honesto,,Pendiente,
componentes/about-us,about-us,philosophy.values[2].icon,target,target,,Pendiente,
componentes/about-us,about-us,philosophy.values[2].label,Actionable,Accionable,,Pendiente,
componentes/about-us,about-us,philosophy.values[3].icon,chart,chart,,Pendiente,
componentes/about-us,about-us,philosophy.values[3].label,Data-centric,Centrado en datos,,Pendiente,
componentes/about-us,about-us,philosophy.values[4].icon,zap,zap,,Pendiente,
componentes/about-us,about-us,philosophy.values[4].label,Agile,Ágil,,Pendiente,
componentes/about-us,about-us,philosophy.vision,Vision,Visión,,Pendiente,
componentes/about-us,about-us,philosophy.visionContent,"FXStreet strives to empower individual traders to confidently navigate the financial markets with timely, accurate and actionable market analysis. FXStreet envisions a world where every trader can access high-quality information regardless of their resources or background.","FXStreet se esfuerza por empoderar a los traders individuales para navegar con confianza los mercados financieros con análisis de mercado oportuno, preciso y accionable. FXStreet imagina un mundo donde cada trader puede acceder a información de alta calidad independientemente de sus recursos o antecedentes.",,Pendiente,
componentes/about-us,about-us,reviews.items[0].content,All analysis are very insightful and easy to understand. Helped me to understand working of various parameters which are moving prices. Glad to be part of Fxstreet family,Todos los análisis son muy perspicaces y fáciles de entender. Me ayudó a comprender el funcionamiento de varios parámetros que mueven los precios. Feliz de ser parte de la familia Fxstreet,,Pendiente,
componentes/about-us,about-us,reviews.items[0].date,"Nov 20, 2025",20 nov 2025,,Pendiente,
componentes/about-us,about-us,reviews.items[0].name,Kalpesh Surathi,Kalpesh Surathi,,Pendiente,
componentes/about-us,about-us,reviews.items[1].content,There are analysts here that really help you succeed in trading!,¡Hay analistas aquí que realmente te ayudan a tener éxito en el trading!,,Pendiente,
componentes/about-us,about-us,reviews.items[1].date,"Oct 15, 2025",15 oct 2025,,Pendiente,
