Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/equities,equities,editorialText.left[0].paragraphs[0],The <strong>Dow Jones Industrial Average (DJIA)</strong> is a price-weighted average of 30 most-traded stocks traded in the United States (US). It is often viewed as representative of “old economy” stocks and is considered a leading indicator for international investment.,The <strong>Dow Jones Industrial Average (DJIA)</strong> is a price-weighted average of 30 most-traded stocks traded in the United States (US). It is often viewed as representative of “old economy” stocks and is considered a leading indicator for international investment.,,Pendiente,
componentes/equities,equities,editorialText.left[0].paragraphs[1],"While the Dow reflects the big money, the Standard and Poor’s 500 <strong>(S&P 500)</strong> is often the preferred gauge of equity markets due to its broad market coverage. The S&P 500 is a market value-weighted index comprising 500 large US stocks, covering about 75% of the US equity market.","While the Dow reflects the big money, the Standard and Poor’s 500 <strong>(S&P 500)</strong> is often the preferred gauge of equity markets due to its broad market coverage. The S&P 500 is a market value-weighted index comprising 500 large US stocks, covering about 75% of the US equity market.",,Pendiente,
componentes/equities,equities,editorialText.left[0].paragraphs[2],"<strong>The Nasdaq Composite</strong> is highly followed in the US as a performance indicator for technology and growth companies. The Nasdaq-100, which includes 100 of the largest non-financial companies in the Nasdaq Composite, accounts for about 80% of the index weighting of the Nasdaq Composite. The Nasdaq Composite is a capitalization-weighted index and it includes both US and non-US companies listed on the Nasdaq stock market. The NASDAQ represents the speculative retail money.","<strong>The Nasdaq Composite</strong> is highly followed in the US as a performance indicator for technology and growth companies. The Nasdaq-100, which includes 100 of the largest non-financial companies in the Nasdaq Composite, accounts for about 80% of the index weighting of the Nasdaq Composite. The Nasdaq Composite is a capitalization-weighted index and it includes both US and non-US companies listed on the Nasdaq stock market. The NASDAQ represents the speculative retail money.",,Pendiente,
componentes/equities,equities,editorialText.left[0].paragraphs[3].linkPath,https://www.fxstreet.com/technical-analysis/sentiment/risk-appetite,https://www.fxstreet.com/technical-analysis/sentiment/risk-appetite,,Pendiente,
componentes/equities,equities,editorialText.left[0].paragraphs[3].text,"Generally speaking, a rise in the US equity markets tends to increase <link>investors' risk appetite</link> attracting foreign investment to the US equity market and pumping the US Dollar (USD) higher.","Generally speaking, a rise in the US equity markets tends to increase <link>investors' risk appetite</link> attracting foreign investment to the US equity market and pumping the US Dollar (USD) higher.",,Pendiente,
componentes/equities,equities,editorialText.left[0].title,US Equity Indices,US Equity Indices,,Pendiente,
componentes/equities,equities,editorialText.left[1].paragraphs[0],The <strong>DAX</strong> is a stock market index consisting of the 40 major German blue chip companies trading on the Frankfurt Stock Exchange. It is a total return index and prices are taken from the Xetra trading venue.,The <strong>DAX</strong> is a stock market index consisting of the 40 major German blue chip companies trading on the Frankfurt Stock Exchange. It is a total return index and prices are taken from the Xetra trading venue.,,Pendiente,
componentes/equities,equities,editorialText.left[1].paragraphs[1],"The Financial Times Stock Exchange 100 <strong>(FTSE 100)</strong>, informally known as the “Footsie”, is a market capitalization-weighted index representing the top 100 blue-chip companies on the London Stock Exchange. The index represents over 80% of the total market capitalization in the United Kingdom (UK). Stocks in the FTSE 100 are free-float weighted, ensuring that only the investable opportunity set is included in the index.","The Financial Times Stock Exchange 100 <strong>(FTSE 100)</strong>, informally known as the “Footsie”, is a market capitalization-weighted index representing the top 100 blue-chip companies on the London Stock Exchange. The index represents over 80% of the total market capitalization in the United Kingdom (UK). Stocks in the FTSE 100 are free-float weighted, ensuring that only the investable opportunity set is included in the index.",,Pendiente,
componentes/equities,equities,editorialText.left[1].title,European Equity Indices,European Equity Indices,,Pendiente,
componentes/equities,equities,editorialText.right[0].paragraphs[0],"The <strong>Nikkei 225, commonly called the Nikkei</strong>, is a stock market index for the Tokyo Stock Exchange (TSE). It is a price-weighted index, operating in Japanese Yen (JPY), that measures the performance of 225 highly capitalized and liquid publicly owned companies in Japan. It has been calculated daily by the Nihon Keizai Shimbun (Nikkei) newspaper since 1970.","The <strong>Nikkei 225, commonly called the Nikkei</strong>, is a stock market index for the Tokyo Stock Exchange (TSE). It is a price-weighted index, operating in Japanese Yen (JPY), that measures the performance of 225 highly capitalized and liquid publicly owned companies in Japan. It has been calculated daily by the Nihon Keizai Shimbun (Nikkei) newspaper since 1970.",,Pendiente,
