Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[0],"These terms of use (the ""Terms of Use"") govern the access and use of the websites, hosted under the domain name www.fxstreet.com and www.forex.es (the ""Websites"") and under any of the subdomains or dependent web pages, as well as the contents and services that the owner of the Websites makes available to its users (the ""Users"") and establish together with the Privacy and Cookies Policy, relating to the management of personal data of Users, the terms and conditions governing said Websites (the ""Terms and Conditions"").","Estos términos de uso (los ""Términos de Uso"") rigen el acceso y uso de los sitios web, alojados bajo el nombre de dominio www.fxstreet.com y www.forex.es (los ""Sitios Web"") y bajo cualquiera de los subdominios o páginas web dependientes, así como los contenidos y servicios que el propietario de los Sitios Web pone a disposición de sus usuarios (los ""Usuarios"") y establecen junto con la Política de Privacidad y Cookies, relativa a la gestión de datos personales de los Usuarios, los términos y condiciones que rigen dichos Sitios Web (los ""Términos y Condiciones"").",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[1],"In compliance with article 10 of Law 34/2002, of July 11, involving Information Society Services and Electronic Commerce, the following identification data of the owner of the aforementioned Websites are provided:","En cumplimiento del artículo 10 de la Ley 34/2002, de 11 de julio, de Servicios de la Sociedad de la Información y de Comercio Electrónico, se facilitan los siguientes datos identificativos del propietario de los citados Sitios Web:",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[2],"FOREXSTREET, S.L.U. is a commercial company whose registered office is located in Barcelona, Calle Portaferrissa, number 7, 1º 2ª, provided with CIF B62498233 and registered in the Mercantile Registry of Barcelona, Volume 33351, Folio 135, Page B230633","FOREXSTREET, S.L.U. es una sociedad mercantil cuyo domicilio social se encuentra en Barcelona, Calle Portaferrissa, número 7, 1º 2ª, provista de CIF B62498233 e inscrita en el Registro Mercantil de Barcelona, Tomo 33351, Folio 135, Hoja B230633",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[3],"Access to the Websites or their use by the User necessarily implies, without reservation, knowledge, and acceptance of the Terms and Conditions. Therefore, it is recommended that the User read them carefully each time they wish to access the aforementioned Websites. If the User does not accept the clauses established in these Terms of Use, they must refrain from accessing and/or using the services and/or content made available on the Websites and proceed to leave them.","El acceso a los Sitios Web o su uso por parte del Usuario implica necesariamente, sin reserva alguna, el conocimiento y aceptación de los Términos y Condiciones. Por lo tanto, se recomienda al Usuario que los lea detenidamente cada vez que desee acceder a los citados Sitios Web. Si el Usuario no acepta las cláusulas establecidas en estos Términos de Uso, deberá abstenerse de acceder y/o utilizar los servicios y/o contenidos puestos a disposición en los Sitios Web y proceder a abandonarlos.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[4],"FOREXSTREET, S.L.U. has created the Websites as a way to share the latest news and updates from international experts in the foreign exchange market, including expert commentary, economic calendars, and relevant information related to this market, thus offering its Users up-to-date information on the most representative events related to the foreign exchange market.","FOREXSTREET, S.L.U. ha creado los Sitios Web como una forma de compartir las últimas noticias y actualizaciones de expertos internacionales en el mercado de divisas, incluyendo comentarios de expertos, calendarios económicos e información relevante relacionada con este mercado, ofreciendo así a sus Usuarios información actualizada sobre los eventos más representativos relacionados con el mercado de divisas.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[5],"In order to use the Services offered on the Websites, it is a necessary condition that Users are of legal age. Therefore, by accepting the following Terms and Conditions, the User declares that they are of legal age and have the necessary capacity to contract the Services offered on the Websites.","Para poder utilizar los Servicios ofrecidos en los Sitios Web, es condición necesaria que los Usuarios sean mayores de edad. Por lo tanto, al aceptar los siguientes Términos y Condiciones, el Usuario declara que es mayor de edad y tiene la capacidad necesaria para contratar los Servicios ofrecidos en los Sitios Web.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].paragraphs[6],"In relation to the above, the User will, in any case, be responsible for the accuracy and truthfulness of the data provided to FOREXSTREET, S.L.U. through the registration form.","En relación con lo anterior, el Usuario será, en cualquier caso, responsable de la exactitud y veracidad de los datos proporcionados a FOREXSTREET, S.L.U. a través del formulario de registro.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[0].title,1. GENERAL INFORMATION,1. INFORMACIÓN GENERAL,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].paragraphs[0],"The user agrees not to use the Websites for activities contrary to the laws, morality, public order, and, in general, to make use in accordance with the conditions established in these Terms of Use. They also agree not to engage in advertising or commercial exploitation activities by sending messages using a false identity.","El usuario se compromete a no utilizar los Sitios Web para actividades contrarias a las leyes, la moral, el orden público y, en general, a hacer uso de acuerdo con las condiciones establecidas en estos Términos de Uso. También se compromete a no realizar actividades publicitarias o de explotación comercial mediante el envío de mensajes utilizando una identidad falsa.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].paragraphs[1],"The Company acts exclusively as the responsible party for the Websites in its capacity as a provider of an information service, not being responsible for the content that, in contravention of these general conditions, users may send or publish, the user being solely responsible for the truthfulness and legality of the same.","La Compañía actúa exclusivamente como responsable de los Sitios Web en su calidad de proveedor de un servicio de información, no siendo responsable del contenido que, en contravención de estas condiciones generales, los usuarios puedan enviar o publicar, siendo el usuario el único responsable de la veracidad y legalidad del mismo.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].paragraphs[2],The Company may interrupt the service of the Websites being used by the user and immediately terminate the relationship with the user if it detects a use of the Websites or any of the services offered therein that may be considered contrary to what is expressed in these Terms of Use.,La Compañía podrá interrumpir el servicio de los Sitios Web que esté utilizando el usuario y dar por terminada inmediatamente la relación con el usuario si detecta un uso de los Sitios Web o de cualquiera de los servicios ofrecidos en los mismos que pueda considerarse contrario a lo expresado en estos Términos de Uso.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].paragraphs[3],"The Company reserves the right to decide, at any time, on the continuity of the information society services it provides through its Websites.","La Compañía se reserva el derecho de decidir, en cualquier momento, sobre la continuidad de los servicios de la sociedad de la información que presta a través de sus Sitios Web.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].paragraphs[4],"Furthermore, the User assumes that the Company, if necessary, may inform administrative or judicial authorities of any facts that may constitute illegal activity, without the need to notify the User beforehand.","Además, el Usuario asume que la Compañía, si es necesario, podrá informar a las autoridades administrativas o judiciales de cualquier hecho que pueda constituir una actividad ilegal, sin necesidad de notificar previamente al Usuario.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[1].title,2. USE OF THE SITE,2. USO DEL SITIO,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].list[0],Use updated versions of browsers.,Utilizar versiones actualizadas de navegadores.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].list[1],"In accessing the restricted access area, verify that access is being made to the correct page and use encryption protocols to ensure the integrity and confidentiality of the provided information.","Al acceder al área de acceso restringido, verificar que se está accediendo a la página correcta y utilizar protocolos de cifrado para garantizar la integridad y confidencialidad de la información proporcionada.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].list[2],Browse well-known websites.,Navegar por sitios web conocidos.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].list[3],"Do not accept the execution of programs whose download occurs automatically, if you do not trust the sources that originate your download.","No aceptar la ejecución de programas cuya descarga se produzca automáticamente, si no confía en las fuentes que originan su descarga.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].list[4],"If using public or shared computers with third parties, confirm that the automatic password reminder option is not activated.","Si utiliza ordenadores públicos o compartidos con terceros, confirme que la opción de recordatorio automático de contraseña no está activada.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].paragraphs[0],"When connecting to the Internet it is convenient that, in addition to taking care of the basic aspects of computer protection, the following precautionary measures are taken into account:","Al conectarse a Internet es conveniente que, además de cuidar los aspectos básicos de protección informática, se tengan en cuenta las siguientes medidas de precaución:",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[0].paragraphs[0],"Passwords provided are strictly confidential, so it is the user's responsibility to make good use of them, observing a duty of diligence in their custody and use. In this regard, passwords should not be written on paper or in computer documents. You can change your password periodically. In this case, it is recommended that the chosen password be difficult to deduce, avoiding, for example, matching your birthday, birth, phone number, etc. For security reasons, access to the Services of the Websites may be blocked if the access key is entered incorrectly a certain number of times.","Las contraseñas proporcionadas son estrictamente confidenciales, por lo que es responsabilidad del usuario hacer un buen uso de ellas, observando un deber de diligencia en su custodia y uso. En este sentido, las contraseñas no deben escribirse en papel ni en documentos informáticos. Puede cambiar su contraseña periódicamente. En este caso, se recomienda que la contraseña elegida sea difícil de deducir, evitando, por ejemplo, que coincida con su cumpleaños, nacimiento, número de teléfono, etc. Por razones de seguridad, el acceso a los Servicios de los Sitios Web puede bloquearse si la clave de acceso se introduce incorrectamente un determinado número de veces.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[0].title,a) Password protection,a) Protección de contraseñas,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[0],"Have up-to-date antivirus software, so you should consult the manufacturer's instructions to keep the automatic update active.","Tener un software antivirus actualizado, por lo que debe consultar las instrucciones del fabricante para mantener activa la actualización automática.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[1],"Analyze documents received electronically or from external sources, such as portable devices, with antivirus software.","Analizar documentos recibidos electrónicamente o de fuentes externas, como dispositivos portátiles, con software antivirus.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[2],Install programs from secure sources that do not infringe intellectual property rights.,Instalar programas de fuentes seguras que no infrinjan los derechos de propiedad intelectual.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[3],"It is advisable to install an anti-spyware system to prevent spyware programs, better known by the English term spyware. It is also recommended to set up a spam filter system to limit the sending of unwanted mass emails.","Es aconsejable instalar un sistema anti-spyware para prevenir programas espía, mejor conocidos por el término inglés spyware. También se recomienda configurar un sistema de filtro de spam para limitar el envío de correos electrónicos masivos no deseados.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[4],"If you receive unsolicited emails, it is advisable to confirm the sending with the sender or delete the message directly. It should never be opened even if it comes from a known sender.","Si recibe correos electrónicos no solicitados, es aconsejable confirmar el envío con el remitente o eliminar el mensaje directamente. Nunca debe abrirse aunque provenga de un remitente conocido.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[5],Do not participate in chain emails or forward emails indiscriminately.,No participar en cadenas de correos electrónicos ni reenviar correos electrónicos indiscriminadamente.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].list[6],Do not run attached files directly; it is much safer to extract them first to a directory on the computer.,No ejecutar archivos adjuntos directamente; es mucho más seguro extraerlos primero a un directorio del ordenador.,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].note,"Having antivirus software does not ensure complete protection of the user's equipment, mainly due to two reasons: that the virus is so new that it is detected by the virus library of the program or that there is a ""false positive"", i.e., a program has programming code sequences similar to a virus.","Tener software antivirus no garantiza la protección completa del equipo del usuario, principalmente por dos razones: que el virus sea tan nuevo que sea detectado por la biblioteca de virus del programa o que haya un ""falso positivo"", es decir, un programa tiene secuencias de código de programación similares a un virus.",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].paragraphs[0],"Viruses are programs that install on the computer, usually hidden from the owner, with harmful purposes for the user's equipment (for example, destroying files or the disk, spreading to other computers, or causing a malfunction of the computer).","Los virus son programas que se instalan en el ordenador, generalmente ocultos del propietario, con fines perjudiciales para el equipo del usuario (por ejemplo, destruir archivos o el disco, propagarse a otros ordenadores o causar un mal funcionamiento del ordenador).",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].paragraphs[1],"To avoid possible virus infections, it is advisable to:","Para evitar posibles infecciones de virus, es aconsejable:",,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].subsections[1].title,b) Protection against viruses,b) Protección contra virus,,Pendiente,
componentes/terms-conditions,terms-conditions,sections[2].title,3. NAVIGATION PROTECTION,3. PROTECCIÓN DE NAVEGACIÓN,,Pendiente,
