bloque_decision,cobertura_next,accion_recomendada,esfuerzo,riesgo_seo,familia,normalized_path,ruta_next,redirect_es_sugerido,redirect_en_si_se_copia,nota,urls_agrupadas,ejemplo_url,path_decoded,first_segment,depth,environments,crawl_hits,seen_in_next_crawl,seen_in_sitefinity,protocol
7_ya_cubierto,cubierto_next,Ya implementado (gate locale=es),nulo,bajo,calendario_es,/calendario-economico,/calendario-economico,,,Unica ruta ES-only ya en app/,1,http://www.fxstreet.es/calendario-economico,/calendario-economico,calendario-economico,1,next|unknown,2,yes,no,http+https
6_checklist_CMS,cubierto_next_dinamico,OK; usdmxn es relevante ES,nulo,bajo,topic,/currencies/[slug],/currencies/[slug],,,Agrupadas 8 URLs del scrap bajo este patron [slug]. No se listan una a una.,8,https://www.fxstreet.es/currencies/audusd,/currencies/[slug],currencies,2,sitefinity,14,no,yes,http+https
7_ya_cubierto,cubierto_next,OK; home ES via NEXT_PUBLIC_LOCALE=es + gateway,nulo,bajo,home,/,/,,,Unica URL marcada next en home,1,http://www.fxstreet.es/,/,(home),0,next|unknown,2,yes,no,http+https
6_checklist_CMS,cubierto_next_dinamico,OK; forecast por activo,nulo,bajo,rates,/rates-charts/[slug]/forecast,/rates-charts/[slug]/forecast,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/rates-charts/{slug}/forecast,/rates-charts/[slug]/forecast,rates-charts,3,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK RSS listing,nulo,bajo,analysis,/analysis/feed,/analysis/feed,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/analysis/feed,/analysis/feed,analysis,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK RSS listing,nulo,bajo,crypto,/cryptocurrencies/news/feed,/cryptocurrencies/news/feed,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/cryptocurrencies/news/feed,/cryptocurrencies/news/feed,cryptocurrencies,3,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK RSS listing,nulo,bajo,news,/news/feed,/news/feed,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/news/feed,/news/feed,news,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK listing companies,nulo,bajo,company,/company,/company,,,app/company/(company)/page.tsx,1,https://www.fxstreet.es/company,/company,company,1,sitefinity,1,no,yes,https
7_ya_cubierto,cubierto_next,OK listing bancos centrales (el scrap solo trajo fichas [slug]),nulo,bajo,macro,/macroeconomics/central-banks,/macroeconomics/central-banks,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/macroeconomics/central-banks,/macroeconomics/central-banks,macroeconomics,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK listing autores (el scrap solo trajo fichas /author/[slug]),nulo,bajo,author,/author,/author,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/author,/author,author,1,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK fallback cashback no disponible,nulo,bajo,brokers,/brokers/cashback/not-available,/brokers/cashback/not-available,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/brokers/cashback/not-available,/brokers/cashback/not-available,brokers,3,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,account,/account/login,/account/login,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/account/login,/account/login,account,2,sitefinity,1,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,analysis,/analysis,/analysis,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/analysis,/analysis,analysis,1,sitefinity,2,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,analysis,/analysis/latest,/analysis/latest,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/analysis/latest,/analysis/latest,analysis,2,sitefinity,2,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,commodities,/commodities,/commodities,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/commodities,/commodities,commodities,1,unknown,1,no,no,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,cryptocurrencies,/cryptocurrencies,/cryptocurrencies,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/cryptocurrencies,/cryptocurrencies,cryptocurrencies,1,sitefinity,2,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,cryptocurrencies,/cryptocurrencies/news,/cryptocurrencies/news,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/cryptocurrencies/news,/cryptocurrencies/news,cryptocurrencies,2,sitefinity,2,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,equities,/equities,/equities,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/equities,/equities,equities,1,unknown,1,no,no,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,news,/news,/news,,,Greybox/newsletter gated EN en algunas de estas superficies,1,https://www.fxstreet.es/news,/news,news,1,sitefinity,3,no,yes,https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,rss,/rss,/rss,,,Greybox/newsletter gated EN en algunas de estas superficies,1,http://www.fxstreet.es/rss,/rss,rss,1,unknown,2,no,no,http+https
