Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/how-we-score-reviews,how-we-score-reviews,finalNotes.paragraphs[0],"<strong>This document provides a mid-level overview of our scoring system,</strong> more detailed than a light summary but easier to digest than our full methodology.","<strong>Este documento ofrece una visión general de nivel intermedio de nuestro sistema de puntuación,</strong> más detallada que un resumen breve pero más fácil de digerir que nuestra metodología completa.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,finalNotes.paragraphs[1],"<strong>Scores are distributed across subcategories</strong> based on the strength, accessibility, and quality of the broker's offering.","<strong>Las puntuaciones se distribuyen entre subcategorías</strong> según la solidez, la accesibilidad y la calidad de la oferta del broker.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,finalNotes.paragraphs[2],"<strong>While higher scores reflect better performance,</strong> lower scores typically result from slow processes, poor transparency, limited features, or inconsistent user experience.","<strong>Si bien las puntuaciones más altas reflejan un mejor rendimiento,</strong> las puntuaciones más bajas suelen deberse a procesos lentos, falta de transparencia, funciones limitadas o experiencia de usuario inconsistente.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,finalNotes.paragraphs[3],"<strong>Whether you are a beginner or seasoned trader,</strong> our goal is to help you choose a broker with confidence backed by unbiased analysis and hands-on insight. While every trader's needs differ, our reviews aim to highlight the strengths and weaknesses across all broker types, giving you clarity, confidence, and control.","<strong>Tanto si eres un trader principiante como experimentado,</strong> nuestro objetivo es ayudarte a elegir un broker con confianza, respaldado por un análisis imparcial y conocimiento de primera mano. Aunque las necesidades de cada trader difieren, nuestras reseñas buscan destacar fortalezas y debilidades en todos los tipos de brokers, ofreciéndote claridad, confianza y control.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,finalNotes.title,Final Notes,Notas finales,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,intro[0],"<strong>At FXStreet, we strive to offer an honest and impartial assessment of brokers you may be considering.</strong> Our reviews combine in-depth research with hands-on testing, reflecting the real-world experience of opening and using a brokerage account.","<strong>En FXStreet, nos esforzamos por ofrecer una evaluación honesta e imparcial de los brokers que puedas estar considerando.</strong> Nuestras reseñas combinan una investigación exhaustiva con pruebas prácticas, reflejando la experiencia real de abrir y utilizar una cuenta de corretaje.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,intro[1],"<strong>We understand that every trader has different needs,</strong> so rather than assign a single overall score, we break down our reviews across six categories.<br/>Each of these is scored individually based on how well the broker performs in relevant subcategories.","<strong>Entendemos que cada trader tiene necesidades diferentes,</strong> por lo que, en lugar de asignar una puntuación global única, desglosamos nuestras reseñas en seis categorías.<br/>Cada una de ellas se puntúa individualmente según el rendimiento del broker en las subcategorías relevantes.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,intro[2],"<strong>While brokers do pay to be reviewed, our analysts and writers work with full editorial independence.</strong> FXStreet has always taken the trader's side, and principles of accuracy, transparency, and objectivity guide our content. Our goal is to save you time and potential frustration by helping you find a broker that aligns with your needs before you commit your funds.","<strong>Aunque los brokers pagan para ser reseñados, nuestros analistas y redactores trabajan con plena independencia editorial.</strong> FXStreet siempre ha estado del lado del trader, y los principios de precisión, transparencia y objetividad guían nuestro contenido. Nuestro objetivo es ahorrarte tiempo y posibles frustraciones ayudándote a encontrar un broker que se ajuste a tus necesidades antes de comprometer tus fondos.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].closing,"Points are allocated depending on the breadth, speed, accessibility, and affordability of the broker's offering.","Los puntos se asignan en función de la amplitud, la velocidad, la accesibilidad y la asequibilidad de la oferta del broker.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[0].content,"Brokers offering multiple account types, including Islamic and demo accounts, with low or no minimum deposits score higher. Limited account types or high deposit requirements reduce the score.","Los brokers que ofrecen varios tipos de cuenta, incluidas cuentas islámicas y demo, con depósitos mínimos bajos o inexistentes obtienen puntuaciones más altas. Los tipos de cuenta limitados o requisitos de depósito elevados reducen la puntuación.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[0].title,Account Types & Minimum Deposit,Tipos de cuenta y depósito mínimo,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[1].content,"Transparent brokers with low spreads, commissions, and swap rates, as well as minimal non-trading fees (inactivity, deposit, withdrawal) earn top marks. Higher or hidden costs lower the rating.","Los brokers transparentes con spreads, comisiones y tipos de swap bajos, así como comisiones mínimas no relacionadas con el trading (inactividad, depósito, retirada) obtienen las mejores calificaciones. Los costes más altos u ocultos reducen la valoración.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[1].title,Costs & Fees,Costes y comisiones,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[2].content,"Points are awarded for accessible welcome offers, loyalty schemes, and achievable referral programs. A lack of promotions or unachievable terms will reduce scores.","Se otorgan puntos por ofertas de bienvenida accesibles, programas de fidelización y programas de referidos alcanzables. La falta de promociones o condiciones inalcanzables reducirá las puntuaciones.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[2].title,Bonuses & Promotions,Bonificaciones y promociones,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[3].content,"Brokers that offer fast, diverse, low-cost funding and withdrawal methods in multiple currencies rate higher. Delays, restrictions, high fees, or limited options result in a lower score.","Los brokers que ofrecen métodos de financiación y retirada rápidos, diversos y de bajo coste en varias divisas obtienen puntuaciones más altas. Los retrasos, restricciones, comisiones elevadas u opciones limitadas resultan en una puntuación más baja.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].criteria[3].title,Depositing & Withdrawing Ease,Facilidad de depósitos y retiradas,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].paragraphs[0],"We assess the cost, flexibility, and ease of setting up and funding an account. The less friction involved, the higher the score. Key criteria include:","Evaluamos el coste, la flexibilidad y la facilidad de abrir y financiar una cuenta. Cuanto menos fricción haya, mayor será la puntuación. Los criterios clave incluyen:",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[0].title,Account Conditions,Condiciones de la cuenta,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].closing,"Scores are determined based on range, flexibility, and real-time test performance.","Las puntuaciones se determinan en función del rango, la flexibilidad y el rendimiento de las pruebas en tiempo real.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].criteria[0].content,"A broader range of tradable markets (e.g., FX, indices, commodities, crypto, CFDs, futures, ETFs) and instruments available within them earn more points. A limited offering will reduce the score.","Una gama más amplia de mercados negociables (p. ej., FX, índices, materias primas, cripto, CFD, futuros, ETF) e instrumentos disponibles dentro de ellos otorgan más puntos. Una oferta limitada reducirá la puntuación.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].criteria[0].title,Asset & Instrument Variety,Variedad de activos e instrumentos,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].criteria[1].content,"High but responsibly managed leverage, adjusted for regulatory regions, is rewarded. Minimal or no leverage options score lower.","Un apalancamiento alto pero gestionado de forma responsable, ajustado a las regiones regulatorias, es recompensado. Las opciones de apalancamiento mínimas o inexistentes obtienen puntuaciones más bajas.",,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].criteria[1].title,Leverage,Apalancamiento,,Pendiente,
componentes/how-we-score-reviews,how-we-score-reviews,sections[1].criteria[2].content,"We perform <strong>real account testing</strong> across multiple asset classes to evaluate how a broker handles trade execution in real conditions. This includes a detailed assessment of <strong>transparency, order types, execution speed, and performance.</strong>","Realizamos <strong>pruebas con cuentas reales</strong> en múltiples clases de activos para evaluar cómo gestiona un broker la ejecución de operaciones en condiciones reales. Esto incluye una evaluación detallada de la <strong>transparencia, los tipos de orden, la velocidad de ejecución y el rendimiento.</strong>",,Pendiente,
