Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/profile,profile,accountSettings.accountDeletion.subtitle,If you want to delete your account,Si quieres eliminar tu cuenta,,Pendiente,
componentes/profile,profile,accountSettings.accountDeletion.title,Account deletion,Eliminación de cuenta,,Pendiente,
componentes/profile,profile,accountSettings.deleteAccount,Delete account,Eliminar cuenta,,Pendiente,
componentes/profile,profile,accountSettings.deleteDialog.confirmLabel,Type your email to confirm *,Escribe tu correo electrónico para confirmar *,,Pendiente,
componentes/profile,profile,accountSettings.deleteDialog.emailPlaceholder,Your Email address,Tu correo electrónico,,Pendiente,
componentes/profile,profile,accountSettings.deleteDialog.title,Delete your FXStreet account,Elimina tu cuenta de FXStreet,,Pendiente,
componentes/profile,profile,accountSettings.deleteDialog.warning,This will permanently delete your account and all your data. This action cannot be undone,Esto eliminará permanentemente tu cuenta y todos tus datos. Esta acción no se puede deshacer,,Pendiente,
componentes/profile,profile,accountSettings.emailAddress,Email address,Correo electrónico,,Pendiente,
componentes/profile,profile,accountSettings.resetPassword.action,Reset Password,Restablecer contraseña,,Pendiente,
componentes/profile,profile,accountSettings.resetPassword.sent,Email was sent to your email,Se ha enviado un correo a tu email,,Pendiente,
componentes/profile,profile,accountSettings.resetPassword.subtitle,Set your password to manage your account,Configura tu contraseña para gestionar tu cuenta,,Pendiente,
componentes/profile,profile,accountSettings.resetPassword.title,Reset Password,Restablecer contraseña,,Pendiente,
componentes/profile,profile,accountSettings.signInCredentials,Sign-in credentials,Credenciales de acceso,,Pendiente,
componentes/profile,profile,back,Back,Volver,,Pendiente,
componentes/profile,profile,calendarSettings.configureView.description,"Choose between an advance view or a more simple one suitable for new traders. Be careful, your saved filters will be reset.","Elige entre una vista avanzada o una más sencilla adecuada para nuevos traders. Ten cuidado, tus filtros guardados se restablecerán.",,Pendiente,
componentes/profile,profile,calendarSettings.configureView.label,Configure view,Configurar vista,,Pendiente,
componentes/profile,profile,calendarSettings.emptyList,No events to show.,No hay eventos para mostrar.,,Pendiente,
componentes/profile,profile,calendarSettings.eventsHeader,Events,Eventos,,Pendiente,
componentes/profile,profile,calendarSettings.notificationHeader,Notification,Notificación,,Pendiente,
componentes/profile,profile,calendarSettings.notifications.description1,The list below shows events you will receive notifications for.,La lista de abajo muestra los eventos de los que recibirás notificaciones.,,Pendiente,
componentes/profile,profile,calendarSettings.notifications.description2,Notifications will appear before the event releases when you browse FXStreet.,Las notificaciones aparecerán antes de que se publique el evento mientras navegas por FXStreet.,,Pendiente,
componentes/profile,profile,calendarSettings.notifications.label,Notifications,Notificaciones,,Pendiente,
componentes/profile,profile,calendarSettings.searchPlaceholder,Search event,Buscar evento,,Pendiente,
componentes/profile,profile,calendarSettings.soundAlert.description,Activate this option if you want to hear a sound alert when a new event is released on the Calendar.,Activa esta opción si quieres escuchar una alerta de sonido cuando se publique un nuevo evento en el Calendario.,,Pendiente,
componentes/profile,profile,calendarSettings.soundAlert.label,Sound alert,Alerta de sonido,,Pendiente,
componentes/profile,profile,calendarSettings.subtitle,Manage your economic calendar profile,Gestiona tu perfil del calendario económico,,Pendiente,
componentes/profile,profile,calendarSettings.title,Calendar settings,Ajustes del calendario,,Pendiente,
componentes/profile,profile,calendarSettings.views.basic.description,Most impactful events for the market with clear and easy information,Los eventos más relevantes para el mercado con información clara y sencilla,,Pendiente,
componentes/profile,profile,calendarSettings.views.basic.title,Basic,Básica,,Pendiente,
componentes/profile,profile,calendarSettings.views.default.description,All default events with deviation index actual data differs from consensus,Todos los eventos predeterminados con índice de desviación cuando el dato real difiere del consenso,,Pendiente,
componentes/profile,profile,calendarSettings.views.default.title,Default,Predeterminada,,Pendiente,
componentes/profile,profile,emailSubscriptions.promotions,"Yes, I also want to receive FXStreet promotions. By subscribing, you agree to our <link>T&Cs.</link>","Sí, también quiero recibir promociones de FXStreet. Al suscribirte, aceptas nuestros <link>T&Cs.</link>",,Pendiente,
componentes/profile,profile,emailSubscriptions.saved,Subscription has been saved,La suscripción se ha guardado,,Pendiente,
componentes/profile,profile,emailSubscriptions.subscribeAll,Subscribe to all,Suscribirse a todo,,Pendiente,
componentes/profile,profile,emailSubscriptions.subtitle,Here you can manage and subscribe to all our newsletters,Aquí puedes gestionar y suscribirte a todos nuestros boletines,,Pendiente,
componentes/profile,profile,emailSubscriptions.title,Email subscriptions,Suscripciones de correo,,Pendiente,
componentes/profile,profile,emailSubscriptions.unsubscribeAll,Unsubscribe from all,Cancelar todas,,Pendiente,
componentes/profile,profile,groups.account,Account,Cuenta,,Pendiente,
componentes/profile,profile,groups.settings,Settings,Ajustes,,Pendiente,
componentes/profile,profile,groups.subscriptions,Subscriptions,Suscripciones,,Pendiente,
componentes/profile,profile,metaDescription,"Manage your FXStreet profile, account settings and subscriptions.","Gestiona tu perfil de FXStreet, la configuración de tu cuenta y tus suscripciones.",,Pendiente,
componentes/profile,profile,notificationsSettings.saved,Notifications has been saved,Las notificaciones se han guardado,,Pendiente,
componentes/profile,profile,notificationsSettings.subtitle,Allow notifications you want to receive,Permite las notificaciones que quieras recibir,,Pendiente,
componentes/profile,profile,notificationsSettings.title,Notifications settings,Ajustes de notificaciones,,Pendiente,
componentes/profile,profile,notificationsSettings.unavailable,Notifications are not available right now.,Las notificaciones no están disponibles en este momento.,,Pendiente,
componentes/profile,profile,personalInformation.fields.country,Country,País,,Pendiente,
componentes/profile,profile,personalInformation.fields.email,Email address,Correo electrónico,,Pendiente,
componentes/profile,profile,personalInformation.fields.name,Name,Nombre,,Pendiente,
componentes/profile,profile,personalInformation.fields.phone,Phone number,Número de teléfono,,Pendiente,
componentes/profile,profile,personalInformation.fields.surname,Surname,Apellido,,Pendiente,
componentes/profile,profile,personalInformation.subtitle,Manage your profile,Gestiona tu perfil,,Pendiente,
componentes/profile,profile,premiumSubscription.activeUntil,Active until {date}.,Activa hasta el {date}.,,Pendiente,
componentes/profile,profile,premiumSubscription.cancellation.afterCancel,When you cancel a subscription you'll still be able to use your subscription for the time you've already paid.,"Cuando cancelas una suscripción, podrás seguir usándola durante el tiempo que ya has pagado.",,Pendiente,
componentes/profile,profile,premiumSubscription.cancellation.anytime,"You can <b>cancel your Premium subscription</b> anytime. Otherwise, your subscription will be renewed.","Puedes <b>cancelar tu suscripción Premium</b> en cualquier momento. De lo contrario, tu suscripción se renovará.",,Pendiente,
componentes/profile,profile,premiumSubscription.cancellation.otherwise,"Otherwise, please send us an email to <email>contact@fxstreet.com</email>.","En caso contrario, envíanos un correo electrónico a <email>contact@fxstreet.com</email>.",,Pendiente,
componentes/profile,profile,premiumSubscription.cancellation.stores,"If you purchased your subscription via <apple>Apple App Store</apple> or <google>Google Play</google>, you can do it following these steps.","Si contrataste tu suscripción a través de <apple>Apple App Store</apple> o <google>Google Play</google>, puedes hacerlo siguiendo estos pasos.",,Pendiente,
componentes/profile,profile,premiumSubscription.cancellation.title,Cancellation,Cancelación,,Pendiente,
componentes/profile,profile,premiumSubscription.currentPlan,Current Plan,Plan actual,,Pendiente,
componentes/profile,profile,premiumSubscription.freeAccount,Free account,Cuenta gratuita,,Pendiente,
componentes/profile,profile,premiumSubscription.premiumAccount,Premium account,Cuenta Premium,,Pendiente,
componentes/profile,profile,premiumSubscription.upgrade,Upgrade to Premium,Hazte Premium,,Pendiente,
componentes/profile,profile,sections.account-settings,Account settings,Ajustes de la cuenta,,Pendiente,
