Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/advertisement-dialog,advertisement-dialog,close,Continue to FXStreet,Continuar a FXStreet,,Pendiente,
componentes/analysis-page,analysis-page,faqs[0].answer,"Forex analysis is how traders assess the next moves a currency pair is about to take, providing insights for taking a position. For this reason it is an essential tool for traders to make the best decisions in their daily trading routine, based on the fundamental and technical aspects of an asset. Fundamental analysis is based on the countries' economic situation, future prospects, and primarily what central banks plan to do with interest rates. Technical analysis focuses on previous price action, the repeat of well-known chart patterns, and other factors.","El análisis en Forex es la forma en que los traders evalúan los próximos movimientos que puede realizar un par de divisas, proporcionando información para tomar una posición. Por este motivo es una herramienta esencial para que los traders tomen las mejores decisiones en su rutina diaria de trading, basándose en los aspectos fundamentales y técnicos de un activo. El análisis fundamental se basa en la situación económica de los países, las perspectivas futuras y, principalmente, en lo que los bancos centrales planean hacer con los tipos de interés. El análisis técnico se centra en el comportamiento previo del precio, la repetición de patrones gráficos conocidos y otros factores.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[0].question,What is Forex Analysis?,¿Qué es el análisis en Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[1].answer,"There are innumerable ways to analyze the Forex market, but its goal is the same: trying to predict where the price is headed next. The most popular types of forex analysis are technical analysis, fundamental analysis and sentiment analysis.","Hay innumerables formas de analizar el mercado Forex, pero el objetivo es el mismo: intentar predecir hacia dónde se dirigirá el precio. Los tipos más populares de análisis en Forex son el análisis técnico, el análisis fundamental y el análisis de sentimiento.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[1].question,What are the types of Forex Analysis?,¿Cuáles son los tipos de análisis en Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[2].answer,"There are several indicators that are key for trading the forex market, and all of them can help forecast where the price could go next. There are indicators of sentiment, trend and volume, among others. Their value depends on the strategy the trader follows and its risk management rules.","Existen varios indicadores clave para operar el mercado Forex, y todos pueden ayudar al trader a anticipar hacia dónde puede moverse el precio. Hay indicadores de sentimiento, tendencia y volumen, entre otros. Su utilidad depende de la estrategia que siga el trader y de sus reglas de gestión de riesgo.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[2].question,What indicator is best for Forex?,¿Cuál es el mejor indicador para Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[3].answer,"Detecting directional movements is critical because FX traders need to determine and anticipate those trends to make profits. Multiple tools can be used, such as trend lines, support, resistance, technical indicators and direct price observation on the chart. Fundamental analysis is also as important as technical analysis. Using both can improve trend forecasting and help maximize potential gains while limiting losses.","Detectar movimientos direccionales es fundamental, ya que el trader de FX necesita identificar y anticipar esas tendencias para obtener beneficios. Para ello pueden usarse herramientas como líneas de tendencia, soportes, resistencias, indicadores técnicos y la observación del precio en el gráfico. También es importante considerar que el análisis fundamental es tan relevante como el técnico. Usar ambos enfoques puede mejorar la previsión de la tendencia y ayudar a maximizar beneficios y limitar pérdidas.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[3].question,How do you analyze trends in Forex?,¿Cómo se analizan las tendencias en Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[4].answer,"The best strategy for one person can be the worst for someone else. Important questions should be answered first, such as how many hours can be dedicated to FX and what risk tolerance applies. A forex strategy combines tools that should deliver a positive balance over time. During creation, flexibility and imagination are important, and once the strategy is defined, discipline becomes essential.","La mejor estrategia para una persona puede ser la peor para otra. Antes de definirla conviene responder preguntas como cuántas horas se pueden dedicar al FX y cuál es la tolerancia al riesgo. Una estrategia de Forex combina herramientas que deberían generar un balance positivo a lo largo del tiempo. Durante su creación, la flexibilidad y la creatividad son importantes, y una vez definida, la disciplina se vuelve esencial.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[4].question,How do I create a Forex Strategy?,¿Cómo creo una estrategia de Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[5].answer,"Every learning process is evolutionary and requires the right steps to build knowledge and skills. New traders should begin with simple but powerful tools like trend lines, support and resistance, and Japanese candlesticks. It is advisable to start with simple patterns such as triangles, rectangles and reversal formations. Education comes first: learning before practicing is key to success, and recognizing strengths and weaknesses is a critical part of that process.","Todo proceso de aprendizaje es evolutivo y requiere seguir pasos adecuados para adquirir conocimientos y habilidades. Para nuevos traders, se recomienda empezar con herramientas simples pero potentes, como líneas de tendencia, soportes y resistencias, o velas japonesas. También conviene trabajar patrones simples, como triángulos, rectángulos o figuras de giro. La formación es prioritaria: aprender antes de practicar es clave para el éxito, y reconocer fortalezas y debilidades forma parte crítica del proceso.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[5].question,How can beginners start trading forex?,¿Cómo pueden empezar los principiantes a operar en Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqs[6].answer,"There are multiple providers of forex signals that offer trade-ready positions. FXStreet has its own signals service with experts across different markets. In FXS Signals, users can access both algorithmic and analyst-executed signals. Automated strategies are presented transparently, and manual strategies include educational explanations so users can execute trades with context and make better independent decisions over time.","Existen múltiples proveedores de señales de Forex que envían posiciones listas para operar. FXStreet cuenta con su propio servicio de señales con expertos en distintos mercados. En FXS Signals, los usuarios pueden acceder a señales algorítmicas y ejecutadas por analistas expertos. Las estrategias automáticas se muestran de forma transparente y las estrategias manuales incluyen explicaciones didácticas para que el usuario opere con contexto y mejore su toma de decisiones.",,Pendiente,
componentes/analysis-page,analysis-page,faqs[6].question,How do I get a forex signal?,¿Cómo consigo una señal de Forex?,,Pendiente,
componentes/analysis-page,analysis-page,faqsTitle,FAQs,Preguntas frecuentes,,Pendiente,
componentes/analysis-page,analysis-page,seo.description,Latest forex analysis and market insights,Últimos análisis forex e información del mercado,,Pendiente,
componentes/analysis-page,analysis-page,seo.feed.description,Latest forex analysis and market insights feed,Feed de últimos análisis forex e información del mercado,,Pendiente,
componentes/analysis-page,analysis-page,seo.feed.pageTitle,Analysis Feed,Feed de Análisis,,Pendiente,
componentes/analysis-page,analysis-page,seo.feed.title,Analysis Feed,Feed de Análisis,,Pendiente,
componentes/analysis-page,analysis-page,seo.pageTitle,Forex Analysis,Análisis - FXStreet,,Pendiente,
componentes/analysis-page,analysis-page,seo.title,Forex Analysis,Análisis - FXStreet,,Pendiente,
componentes/calendar-disclaimer,calendar-disclaimer,description,"The real-time <strong>Economic Calendar</strong> covers financial events and indicators from all over the world. It's automatically updated when new data is released. The Real-time Economic Calendar only provides general information and it is not meant to be a trading guide. FXStreet commits to offer the most accurate contents but due to the large amount of data and the wide range of official sources, FXStreet cannot be held responsible for the eventual inaccuracies that might occur. The Real-time <strong>Economic Calendar</strong> may also be subject to change without any previous notice.","El Calendario Económico en <strong>tiempo real</strong> cubre eventos e indicadores financieros de todo el mundo. Se actualiza automáticamente cuando se publican nuevos datos. El Calendario Económico en Tiempo Real sólo proporciona información general y no pretende ser una guía comercial. FXStreet se compromete a ofrecer los contenidos más exactos, pero debido a la gran cantidad de datos y a la amplia gama de fuentes oficiales, FXStreet no se hace responsable de las posibles inexactitudes que puedan ocurrir. El Calendario Económico en Tiempo Real también puede estar sujeto a cambios sin previo aviso.",,Pendiente,
componentes/calendar-disclaimer,calendar-disclaimer,title,Real time Economic Calendar,Calendario Económico en tiempo real,,Pendiente,
componentes/crypto-news,crypto-news,seo.description,Latest cryptocurrency news and updates,Últimas noticias y actualizaciones de criptomonedas,,Pendiente,
componentes/crypto-news,crypto-news,seo.feed.description,Latest cryptocurrency news and updates feed,Feed de últimas noticias y actualizaciones de criptomonedas,,Pendiente,
componentes/crypto-news,crypto-news,seo.feed.pageTitle,Crypto News Feed,Feed de Noticias Cripto,,Pendiente,
componentes/crypto-news,crypto-news,seo.feed.title,Crypto News Feed,Feed de Noticias Cripto,,Pendiente,
componentes/crypto-news,crypto-news,seo.pageTitle,Crypto News,Noticias Cripto - FXStreet,,Pendiente,
componentes/crypto-news,crypto-news,seo.title,Crypto News Today,Noticias Cripto - FXStreet,,Pendiente,
componentes/disclaimer-section,disclaimer-section,title,Legal Text,Texto Legal,,Pendiente,
componentes/education,education,seo.description,Forex trading education and learning resources,Educación y recursos de aprendizaje sobre trading forex,,Pendiente,
componentes/education,education,seo.feed.description,Forex trading education and learning resources feed,Feed de educación y recursos de aprendizaje sobre trading forex,,Pendiente,
componentes/education,education,seo.feed.pageTitle,Education Feed,Feed de Educación,,Pendiente,
