Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,closing,"Using AI to write articles from scratch or to rewrite them is forbidden, as is using AI tools that haven't been trained and validated by the editorial team. Overall, any use of AI in editorial processes must ensure that our reporting is <strong>fair, legal, and accountable</strong>, as it always has been.","Está prohibido utilizar la IA para redactar artículos desde cero o para reescribirlos, así como emplear herramientas de IA que no hayan sido entrenadas y validadas por el equipo editorial. En general, cualquier uso de la IA en los procesos editoriales debe garantizar que nuestra información sea <strong>justa, legal y responsable</strong>, como siempre ha sido.",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,intro[0],"At FXStreet, <strong>transparency</strong> is one of our editorial values. We have always aimed to earn our audience's trust by being open about what we do, why we do it, and how we do it. As Generative Artificial Intelligence (GenAI) becomes more widely used in newsrooms around the world, we believe it is our responsibility to <strong>explain how we use AI</strong> in our day-to-day editorial operations.","En FXStreet, la <strong>transparencia</strong> es uno de nuestros valores editoriales. Siempre hemos buscado ganarnos la confianza de nuestra audiencia siendo abiertos sobre lo que hacemos, por qué lo hacemos y cómo lo hacemos. A medida que la Inteligencia Artificial Generativa (GenAI) se utiliza cada vez más en las redacciones de todo el mundo, creemos que es nuestra responsabilidad <strong>explicar cómo usamos la IA</strong> en nuestras operaciones editoriales diarias.",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,intro[1],"While AI is helping us improve some workflows and tools, <strong>FXStreet remains fully committed to human-led content</strong>. Our editorial team strives to provide top-notch, timely, and insightful market coverage every day, written and reviewed by our experienced analysts for traders. AI supports our work, but <strong>it does not replace the editorial judgment, market expertise, and accountability of FXStreet's team</strong>.","Si bien la IA nos ayuda a mejorar algunos flujos de trabajo y herramientas, <strong>FXStreet sigue plenamente comprometida con contenidos liderados por personas</strong>. Nuestro equipo editorial se esfuerza por ofrecer cada día una cobertura de mercados de primer nivel, oportuna y perspicaz, escrita y revisada por nuestros analistas experimentados para traders. La IA apoya nuestro trabajo, pero <strong>no sustituye el criterio editorial, la experiencia de mercado ni la responsabilidad del equipo de FXStreet</strong>.",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,intro[2],"AI use at FXStreet is governed by a <strong>strict editorial policy</strong>. Our internal guidelines recognize AI as a useful tool for both reporting, writing, and workflow support, but only under <strong>strict human supervision and clearly defined limits.</strong>","El uso de la IA en FXStreet se rige por una <strong>estricta política editorial</strong>. Nuestras directrices internas reconocen la IA como una herramienta útil tanto para la información, la redacción y el apoyo a los flujos de trabajo, pero solo bajo una <strong>estricta supervisión humana y límites claramente definidos.</strong>",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sectionsHeading,"So, how are we using AI?","Entonces, ¿cómo utilizamos la IA?",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sections[0].paragraphs[0],"We use AI to enhance market intelligence through tools built in line with our editorial standards. One example is the FXStreet Speech Tracker, which parses and scores the tone of central bank speeches in real-time. This helps traders quickly assess whether policymakers are hawkish or dovish without having to read full statements, giving instant insight.","Utilizamos la IA para mejorar la inteligencia de mercado mediante herramientas desarrolladas conforme a nuestros estándares editoriales. Un ejemplo es el FXStreet Speech Tracker, que analiza y puntúa el tono de los discursos de los bancos centrales en tiempo real. Esto ayuda a los traders a evaluar rápidamente si las autoridades monetarias son hawkish o dovish sin tener que leer los comunicados completos, ofreciendo información instantánea.",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sections[0].title,Create in-house tools,Crear herramientas internas,,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sections[1].paragraphs[0],"We also use AI to help the newsroom spend less time on certain tasks, such as tagging articles or drafting headline suggestions. Other AI tools help simplify parts of the technical analysis workflow or summarize external content, including material provided by banks, brokerages, and external analysts. These tools have taken months to develop, are designed to align with our editorial standards, and remain under constant review.","También utilizamos la IA para que la redacción dedique menos tiempo a ciertas tareas, como etiquetar artículos o redactar sugerencias de titulares. Otras herramientas de IA ayudan a simplificar partes del flujo de trabajo del análisis técnico o a resumir contenido externo, incluido el material proporcionado por bancos, brókers y analistas externos. Estas herramientas han tardado meses en desarrollarse, están diseñadas para alinearse con nuestros estándares editoriales y se revisan constantemente.",,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sections[1].title,Improving efficiency,Mejorar la eficiencia,,Pendiente,
componentes/how-fxstreet-uses-ai,how-fxstreet-uses-ai,sections[2].paragraphs[0],"To translate content originally written in English to other languages, we use a self-training AI translation system that draws on an extensive glossary of specific terms related to financial markets and economics. Most of the content is verified by editors: when that's the case, the reader sees the ""verified translation"" label, while those labeled with the ""machine translation"" tag have not.","Para traducir contenidos escritos originalmente en inglés a otros idiomas, utilizamos un sistema de traducción automática con autoentrenamiento que se apoya en un extenso glosario de términos específicos relacionados con los mercados financieros y la economía. La mayor parte del contenido es verificada por editores: cuando es así, el lector ve la etiqueta de ""traducción verificada"", mientras que los artículos con la etiqueta de ""traducción automática"" no han sido revisados.",,Pendiente,
