Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
editorial,EditorialGuidelines,Constancy.content,"We expect the contributor to be regular, responsive and stick to his commitment. Your regularity will also be appreciated by the audience: you will gain loyal followers.","Esperamos que el colaborador sea regular, receptivo y cumpla con su compromiso. Tu regularidad también será apreciada por la audiencia: ganarás seguidores leales.",,Pendiente,
editorial,EditorialGuidelines,Constancy.title,Constancy,Constancia,,Pendiente,
editorial,EditorialGuidelines,Ethic.ethicalCode,See our <link>Ethical Code</link> to know more about this point.,Consulta nuestro <link>Código Ético</link> para saber más sobre este punto.,,Pendiente,
editorial,EditorialGuidelines,Ethic.ethicalCodeLink,/info/ethical-code,/info/ethical-code,,Pendiente,
editorial,EditorialGuidelines,Ethic.practicesTitle,Such practices will not be accepted:,Tales prácticas no serán aceptadas:,,Pendiente,
editorial,EditorialGuidelines,Ethic.practices[0].text,Defaming content against other authors or theories to gain credibility,Contenido difamatorio contra otros autores o teorías para ganar credibilidad,,Pendiente,
editorial,EditorialGuidelines,Ethic.practices[1].text,"Misleading language, a promise of benefit, easy money","Lenguaje engañoso, promesa de beneficio, dinero fácil",,Pendiente,
editorial,EditorialGuidelines,Ethic.practices[2].text,"Copyright disrespectful, avoiding to quote original sources","Falta de respeto a los derechos de autor, evitando citar las fuentes originales",,Pendiente,
editorial,EditorialGuidelines,Ethic.title,Ethic,Ética,,Pendiente,
editorial,EditorialGuidelines,Excelence.content,"FXStreet has strong quality and style content requirements. We are committed to providing high-quality financial information to our users and we are convinced that our strictness made the FXStreet brand so respected nowadays, and so your content will be.","FXStreet tiene fuertes requisitos de calidad y estilo de contenido. Estamos comprometidos a proporcionar información financiera de alta calidad a nuestros usuarios y estamos convencidos de que nuestra rigurosidad ha hecho que la marca FXStreet sea tan respetada hoy en día, y así será tu contenido.",,Pendiente,
editorial,EditorialGuidelines,Excelence.title,Excelence,Excelencia,,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[0].content,"Perfect command of the language, style, grammar and structure","Dominio perfecto del idioma, estilo, gramática y estructura",,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[0].title,Language Skills:,Habilidades lingüísticas:,,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[1].content,"Clear and correct analysis/research, no superficial or imprecise treatment","Análisis/investigación clara y correcta, sin tratamiento superficial o impreciso",,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[1].title,Subject:,Tema:,,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[2].content,"Including pictures/charts to illustrate the analysis is positively valued – in webinars, it is compulsory to include visuals to support your speech","Incluir imágenes/gráficos para ilustrar el análisis se valora positivamente; en webinars, es obligatorio incluir visuales para apoyar tu discurso",,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[2].title,Visuals:,Visuales:,,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[3].content,"Original, interesting, creative, data mining","Original, interesante, creativo, análisis de datos",,Pendiente,
editorial,EditorialGuidelines,Quality.qualityList[3].title,Content:,Contenido:,,Pendiente,
editorial,EditorialGuidelines,Quality.title,Quality,Calidad,,Pendiente,
editorial,EditorialGuidelines,intro,The criteria that are followed by our Content Team to accept a new contributor on FXStreet are:,Los criterios que sigue nuestro Equipo de Contenido para aceptar un nuevo colaborador en FXStreet son:,,Pendiente,
editorial,EditorialGuidelines,submitContributionLink,/info/contact-us,/info/contact-us,,Pendiente,
editorial,EditorialGuidelines,submitContributionLinkText,Submit your contribution,Envía tu contribución,,Pendiente,
editorial,EditorialGuidelines,title,Editorial Guidelines,Guías Editoriales,,Pendiente,
editorial,EthicalCode,Sections[0].content,"Maintain at all times the highest standards of professional competence, integrity and judgment.","Mantén en todo momento los más altos estándares de competencia profesional, integridad y juicio.",,Pendiente,
editorial,EthicalCode,Sections[0].title,Be professional,Sé profesional,,Pendiente,
