Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/advertising-model,advertising-model,closing,Feel free to share your doubts and we will be happy to address them. You can contact us at <email>contact@fxstreet.com</email>.,No dudes en compartir tus dudas y estaremos encantados de resolverlas. Puedes contactarnos en <email>contact@fxstreet.com</email>.,,Pendiente,
componentes/advertising-model,advertising-model,contactEmail,contact@fxstreet.com,contact@fxstreet.com,,Pendiente,
componentes/advertising-model,advertising-model,intro[0],"We believe advertisements can be useful to our audience. First, by highlighting services tailored to the traders' interests, we uncover new solutions for their needs. Second, by funding FXStreet's mission, we can keep helping traders in their journey.","Creemos que la publicidad puede ser útil para nuestra audiencia. En primer lugar, al destacar servicios adaptados a los intereses de los traders, descubrimos nuevas soluciones para sus necesidades. En segundo lugar, al financiar la misión de FXStreet, podemos seguir ayudando a los traders en su camino.",,Pendiente,
componentes/advertising-model,advertising-model,intro[1],"Advertising is the best model to ensure our services remain open and free to every trader in the world, but at the same time, it can generate incentives that are not aligned with our users. For that, and because keeping traders' trust is critical for FXStreet, we are forthcoming in explaining how we collaborate with our advertisers. This transparency allows our audience to make fully informed decisions.","La publicidad es el mejor modelo para garantizar que nuestros servicios sigan abiertos y gratuitos para todos los traders del mundo, pero al mismo tiempo puede generar incentivos que no están alineados con nuestros usuarios. Por ello, y porque mantener la confianza de los traders es fundamental para FXStreet, somos transparentes al explicar cómo colaboramos con nuestros anunciantes. Esta transparencia permite a nuestra audiencia tomar decisiones plenamente informadas.",,Pendiente,
componentes/advertising-model,advertising-model,intro[2],"FXStreet offers various advertising models to partners, including display ads, sponsorships, broker listings, and custom solutions, including branded and sponsored content. These products allow brokerages and financial firms to reach FXStreet's large audience of traders.","FXStreet ofrece diversos modelos de publicidad a sus socios, incluidos anuncios display, patrocinios, listados de brókers y soluciones personalizadas, como contenido de marca y patrocinado. Estos productos permiten a brókers y firmas financieras llegar a la amplia audiencia de traders de FXStreet.",,Pendiente,
componentes/advertising-model,advertising-model,intro[3],The company clearly differentiates between independent content and branded materials.,La empresa diferencia claramente entre contenido independiente y materiales de marca.,,Pendiente,
componentes/advertising-model,advertising-model,sections[0].paragraphs[0],"Every day, FXStreet's editorial team works hard to guarantee the best market coverage and help traders make informed decisions, generating dozens of articles covering all sessions and multiple markets.","Cada día, el equipo editorial de FXStreet trabaja para garantizar la mejor cobertura del mercado y ayudar a los traders a tomar decisiones informadas, generando decenas de artículos que cubren todas las sesiones y múltiples mercados.",,Pendiente,
componentes/advertising-model,advertising-model,sections[0].paragraphs[1],"We are committed to the highest standards of editorial integrity. FXStreet's editorial content is produced independently by our team of market analysts, reporters and editors. In each article, you will find the author(s) of the content at the top. We guarantee that our in-house written news and analysis are free from any commercial interests.","Estamos comprometidos con los más altos estándares de integridad editorial. El contenido editorial de FXStreet es producido de forma independiente por nuestro equipo de analistas de mercado, reporteros y editores. En cada artículo encontrarás al autor o autores del contenido en la parte superior. Garantizamos que nuestras noticias y análisis redactados internamente están libres de cualquier interés comercial.",,Pendiente,
componentes/advertising-model,advertising-model,sections[0].title,Maintaining editorial independence,Mantener la independencia editorial,,Pendiente,
componentes/advertising-model,advertising-model,sections[1].paragraphs[0],"On the other hand, FXStreet always prominently tag branded content as BRANDED or SPONSORED to identify that these articles and pages have been paid for by an advertiser, and differentiate them from editorial content.","Por otro lado, FXStreet siempre etiqueta de forma destacada el contenido de marca como BRANDED o SPONSORED para identificar que estos artículos y páginas han sido pagados por un anunciante, y diferenciarlos del contenido editorial.",,Pendiente,
