Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/premium-terms-and-conditions,premium-terms-and-conditions,availabilityOfOurServices.paragraphs[0],"Our Services may be interrupted, including for maintenance, upgrades, or network or equipment failures. We may discontinue some or all of our Services, including certain features and the support for certain devices and platforms, at any time.","Nuestros Servicios pueden interrumpirse, incluso por mantenimiento, actualizaciones o fallas en la red o el equipo. Podemos descontinuar algunos o todos nuestros Servicios, incluidas ciertas características y el soporte para ciertos dispositivos y plataformas, en cualquier momento.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,availabilityOfOurServices.paragraphs[1],"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for FXStreet Premium.","Podemos modificar, suspender o terminar su acceso o uso de nuestros Servicios en cualquier momento y por cualquier motivo, por ejemplo, si viola la letra o el espíritu de nuestros Términos o crea daño, riesgo o posible exposición legal para FXStreet Premium.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,availabilityOfOurServices.title,Availability of Our Services,Disponibilidad de nuestros servicios,,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,disclaimersAndLimitations.paragraphs[0],"<strong>Disclaimers.</strong>&nbsp;<span class='uppercase'>THE COMPANY DOES NOT WARRANT THAT ANY INFORMATION PROVIDED BY US IS ACCURATE, COMPLETE, OR USEFUL, THAT OUR SERVICES WILL BE OPERATIONAL, ERROR-FREE, SECURE, OR SAFE, OR THAT OUR SERVICES WILL FUNCTION WITHOUT DISRUPTIONS, DELAYS, OR IMPERFECTIONS. WE DO NOT CONTROL, AND ARE NOT RESPONSIBLE FOR, CONTROLLING HOW OR WHEN OUR USERS USE OUR SERVICES. WE ARE NOT RESPONSIBLE FOR THE ACTIONS OR INFORMATION (INCLUDING CONTENT) OF OUR USERS OR OTHER THIRD PARTIES.</span>","<strong>Descargos de responsabilidad.</strong>&nbsp;<span class='uppercase'>LA COMPAÑÍA NO GARANTIZA QUE CUALQUIER INFORMACIÓN PROPORCIONADA POR NOSOTROS SEA EXACTA, COMPLETA O ÚTIL, QUE NUESTROS SERVICIOS ESTÉN OPERATIVOS, LIBRES DE ERRORES, SEGUROS O A SALVO, O QUE NUESTROS SERVICIOS FUNCIONEN SIN INTERRUPCIONES, RETRASOS O IMPERFECCIONES. NO CONTROLAMOS, Y NO SOMOS RESPONSABLES DE CONTROLAR, CÓMO O CUÁNDO NUESTROS USUARIOS UTILIZAN NUESTROS SERVICIOS. NO SOMOS RESPONSABLES DE LAS ACCIONES O LA INFORMACIÓN (INCLUIDO EL CONTENIDO) DE NUESTROS USUARIOS U OTROS TERCEROS.</span>",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,disclaimersAndLimitations.paragraphs[1],"<strong>Limitation of liability.</strong>&nbsp;<span class='uppercase'>THE COMPANY WILL NOT BE LIABLE TO YOU FOR ANY LOST PROFITS OR CONSEQUENTIAL, SPECIAL, PUNITIVE, INDIRECT, OR INCIDENTAL DAMAGES RELATING TO, ARISING OUT OF, OR IN ANY WAY IN CONNECTION WITH OUR TERMS, US, OR OUR SERVICES, EVEN IF THE SIGNALS PARTIES HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.</span>","<strong>Limitación de responsabilidad.</strong>&nbsp;<span class='uppercase'>LA COMPAÑÍA NO SERÁ RESPONSABLE ANTE USTED POR NINGÚN LUCRO CESANTE O DAÑOS CONSECUENTES, ESPECIALES, PUNITIVOS, INDIRECTOS O INCIDENTALES RELACIONADOS CON, QUE SURJAN DE O EN CUALQUIER FORMA EN CONEXIÓN CON NUESTROS TÉRMINOS, NOSOTROS O NUESTROS SERVICIOS, INCLUSO SI LAS PARTES DE LAS SEÑALES HAN SIDO ADVERTIDAS DE LA POSIBILIDAD DE TALES DAÑOS.</span>",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,disclaimersAndLimitations.title,Disclaimers and Limitations,Descargos de responsabilidad y limitaciones,,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[0],By using FXStreet Premium you agree to the privacy policy and terms of use stated below.,"Al utilizar FXStreet Premium, usted acepta la política de privacidad y los términos de uso que se indican a continuación.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[10],"We reserve the right, at any time and for any reason, to discontinue, redesign, modify, enhance, change, patch the software and/or the Services including without limitation, the structure, specifications, 'look and feel,' navigation, features and other elements of the Software and/or the Services or any part thereof. Furthermore, We are not obligated to update the information displayed on our website at any time and we will not be liable for the termination, interruption, delay or inaccuracy of any Market Information.","Nos reservamos el derecho, en cualquier momento y por cualquier motivo, de discontinuar, rediseñar, modificar, mejorar, cambiar o parchear el software y/o los Servicios, incluidos, entre otros, la estructura, especificaciones, el 'aspecto y sensación', la navegación, las características y otros elementos del Software y/o los Servicios o cualquier parte de los mismos. Además, no estamos obligados a actualizar la información mostrada en nuestro sitio web en ningún momento y no seremos responsables por la terminación, interrupción, demora o inexactitud de cualquier Información de Mercado.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[11],"The financial information we post on our website is provided by us for the benefit or our users and as such you undertake not to enable deep linking or any other form of redistribution or reuse of the information, to any non-authorized users.","La información financiera que publicamos en nuestro sitio web la proporcionamos para el beneficio de nuestros usuarios y, como tal, usted se compromete a no habilitar enlaces profundos ni ninguna otra forma de redistribución o reutilización de la información a usuarios no autorizados.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[1],"Please read this document carefully. It details the services which we will provide and it sets out the obligations and rights applying between you and ForexStreet S.L.U. If there is anything in this document that you do not understand or with which you do not agree, do not use our Services.","Por favor, lea este documento detenidamente. Detalla los servicios que brindaremos y establece las obligaciones y derechos que se aplican entre usted y ForexStreet S.L.U. Si hay algo en este documento que no entiende o con lo que no está de acuerdo, no utilice nuestros Servicios.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[2],The Company uses a Discord server through which FXS Analysts do not offer financial advice or personal recommendations but rather their real-time market view and comments on potential upcoming scenarios. Their insights should be used as a complement to your own research.,"La Compañía utiliza un servidor de Discord a través del cual los Analistas de FXS no ofrecen asesoramiento financiero ni recomendaciones personales, sino su visión del mercado en tiempo real y comentarios sobre posibles escenarios futuros. Sus conocimientos deben utilizarse como complemento a su propia investigación.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[3],The Company provides generic information to its subscribers and it is strongly advised that the client(s) should consult with a Financial Advisor before proceeding to copy the Company's trades.,La Compañía proporciona información genérica a sus suscriptores y se recomienda encarecidamente que los clientes consulten con un Asesor Financiero antes de proceder a copiar las operaciones de la Compañía.,,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[4],"While all information posted is believed to come from reliable sources, the Company does not guarantee the accuracy, correctness, or completeness of information available from its service and therefore will not be liable for any loss incurred.","Si bien se cree que toda la información publicada proviene de fuentes confiables, la Compañía no garantiza la exactitud, corrección o integridad de la información disponible en su servicio y, por lo tanto, no será responsable de ninguna pérdida incurrida.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[5],"FXStreet Premium Service does not provide investment advice, nor provide any personalized investment recommendations and/or advice in making a decision to trade.","El Servicio FXStreet Premium no proporciona asesoramiento de inversión, ni proporciona recomendaciones y/o asesoramiento de inversión personalizados para tomar una decisión sobre operar.",,Pendiente,
componentes/premium-terms-and-conditions,premium-terms-and-conditions,generalTermsOfUse.paragraphs[6],"No guarantee is made that any user of this service will or is likely to achieve results advised by the widget. There is often a large difference between theoretical performance and the actual results later reached by any trading platform. There are many influencing factors related to either the market, in general, or to the specific implementation of any signals which can affect actual trading buy/sell results.",No se garantiza que ningún usuario de este servicio logre o sea probable que logre los resultados recomendados por el widget. A menudo existe una gran diferencia entre el rendimiento teórico y los resultados reales alcanzados posteriormente por cualquier plataforma de negociación. Existen muchos factores influyentes relacionados con el mercado en general o con la implementación específica de cualquier señal que pueda afectar los resultados reales de compra/venta.,,Pendiente,
