Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/rates-charts,rates-charts,ChartInteractive.loginCTA,Log in,Iniciar sesión,,Pendiente,
componentes/rates-charts,rates-charts,ChartInteractive.saveChartDescription,Log in to save your chart layouts and access them from any device.,Inicia sesión para guardar tus diseños de gráficos y acceder a ellos desde cualquier dispositivo.,,Pendiente,
componentes/rates-charts,rates-charts,ChartInteractive.saveChartTitle,Save Chart Layout,Guardar diseño del gráfico,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[0].SubFeatures[0].content,"You can choose between 6,000 different assets: all Forex crosses (and their reverse too - see below), but also cryptocurrencies, main commodities, indices and US stocks. You can also directly type the asset in the search asset field. Note that you must put a slash between the two currencies of the pair. For example: USD/JPY and not USDJPY.","Puedes elegir entre 6.000 activos diferentes: todos los cruces de Forex (y también sus inversos, ver más abajo), pero también criptomonedas, las principales materias primas, índices y acciones de EE. UU. También puedes escribir directamente el activo en el campo de búsqueda. Ten en cuenta que debes poner una barra entre las dos divisas del par. Por ejemplo: USD/JPY y no USDJPY.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[0].SubFeatures[1].content,"We all know EUR/USD... But do you know USD/EUR? ""It does not exist"" would be the first answer. Wrong! All currency crosses exist in both directions... And they are available on our interactive graph!",Todos conocemos EUR/USD... ¿pero conoces USD/EUR? «No existe» sería la primera respuesta. ¡Error! Todos los cruces de divisas existen en ambas direcciones... ¡y están disponibles en nuestro gráfico interactivo!,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[0].SubFeatures[1].title,Reverse crosses,Cruces inversos,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[0].title,"Over 6,000 assets",Más de 6.000 activos,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[1].SubFeatures[0].content,"You can display the asset rates in 19 different time frames: Intraday (16 time frames available, from 1 to 720 minutes - that is 12 hours), Daily, Weekly, and Monthly.","Puedes mostrar los precios del activo en 19 marcos temporales diferentes: intradía (16 marcos disponibles, de 1 a 720 minutos, es decir, 12 horas), diario, semanal y mensual.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[1].title,Time frames: 19 predefined options,Marcos temporales: 19 opciones predefinidas,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[2].SubFeatures[0].content,"On our forex charts, you can display historical data of 250 periods (250 minutes, hours or days), a valuable data you get for free here! You can use this history to make price behavior studies. How to show more historical data? Use the zoom-out option.","En nuestros gráficos de Forex puedes mostrar datos históricos de 250 periodos (250 minutos, horas o días), ¡un dato valioso que obtienes gratis aquí! Puedes usar este historial para realizar estudios del comportamiento del precio. ¿Cómo mostrar más datos históricos? Usa la opción de alejar el zoom.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[2].title,Extensive historical data,Amplios datos históricos,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[3].SubFeatures[0].content,"You can add up to 100 technical indicators to your graph, such as Linear Regression, CCI, ADX, and many more.","Puedes añadir hasta 100 indicadores técnicos a tu gráfico, como Regresión Lineal, CCI, ADX y muchos más.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[3].SubFeatures[1].content,"In our commitment to helping traders in their journey, FXStreet is introducing a new tool for this challenging exercise: the FXStreet Fed Sentiment Index indicator.","En nuestro compromiso por ayudar a los traders en su camino, FXStreet presenta una nueva herramienta para este difícil ejercicio: el indicador Índice de Sentimiento de la Fed de FXStreet.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].Features[3].title,Over 100 technical indicators,Más de 100 indicadores técnicos,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[0].title,Chart Features,Características del gráfico,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[1].Features[0].SubFeatures[0].content,You can choose among 12 graph types:,Puedes elegir entre 12 tipos de gráfico:,,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[1].Features[0].SubFeatures[1].content,"Line, Candlestick, Bar (OHLC), Bar (HLC), Mountain, Histogram, Heikin Ashi, Points and Stair Steps.","Línea, Velas, Barras (OHLC), Barras (HLC), Montaña, Histograma, Heikin Ashi, Puntos y Escalones.",,Pendiente,
componentes/rates-charts,rates-charts,ChartPage.FeaturesSection[1].Features[0].SubFeatures[1].title,Time-related construction charts,Gráficos de construcción temporal,,Pendiente,
