Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/prevention,prevention,closingBold,Stay safe and protected!,¡Manténgase a salvo y protegido!,,Pendiente,
componentes/prevention,prevention,closingRest,Your cooperation helps us take appropriate action.,Su colaboración nos ayuda a tomar las medidas adecuadas.,,Pendiente,
componentes/prevention,prevention,customerCareContactLink,Contact us,Contacto,,Pendiente,
componentes/prevention,prevention,reminderEmphasis,we never request payments in cryptocurrency.,nunca solicitamos pagos en criptomonedas.,,Pendiente,
componentes/prevention,prevention,reminderPrefix,"At FXStreet, we want to remind you that","En FXStreet, queremos recordarle que",,Pendiente,
componentes/prevention,prevention,secureTransactionsHeading,"For secure transactions, trust only:","Para transacciones seguras, confíe solo en:",,Pendiente,
componentes/prevention,prevention,tipContactPayment,No one from FXStreet will ever contact you to request a payment,Nadie de FXStreet se pondrá en contacto con usted para solicitarle un pago,,Pendiente,
componentes/prevention,prevention,tipCryptoCustomerCare,Please avoid making crypto payments and report any issues to our Customer Care team at:,"Por favor, evite realizar pagos en criptomonedas e informe de cualquier incidencia a nuestro equipo de Atención al Cliente en:",,Pendiente,
componentes/prevention,prevention,tipNotBrokers,We are not brokers or involved in managing third-party accounts,No somos brókers ni participamos en la gestión de cuentas de terceros,,Pendiente,
componentes/prevention,prevention,tipScamWarning,"If anyone asks you to pay, it's a scam!","Si alguien le pide que pague, ¡es una estafa!",,Pendiente,
componentes/prevention,prevention,tipSocialVerified,Always ensure the social media account is properly verified:,Compruebe siempre que la cuenta en redes sociales esté verificada:,,Pendiente,
componentes/prevention,prevention,tipsIntro,We want to share with you some tips:,Queremos compartir con usted algunos consejos:,,Pendiente,
componentes/prevention,prevention,title,How FXStreet prevents scam: your security matters to us!,Cómo FXStreet previene las estafas: ¡su seguridad nos importa!,,Pendiente,
componentes/prevention,prevention,trustLinkAndroid,Google Play,Google Play,,Pendiente,
componentes/prevention,prevention,trustLinkIos,App Store,App Store,,Pendiente,
componentes/prevention,prevention,trustLinkWebsite,Official website,Sitio web oficial,,Pendiente,
