Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/commodities,commodities,editorialText.left[0].paragraphs[0].linkPath,/commodities/gold,/commodities/gold,,Pendiente,
componentes/commodities,commodities,editorialText.left[0].paragraphs[0].text,"<strong>Commodities are raw materials or basic products used to produce other goods or deliver services. They often take center stage during inflationary periods,</strong> serving as a hedge against inflation. <link>Gold</link>, in particular, has an important psychological value <strong>as a hedge against economic uncertainty.</strong>","<strong>Commodities are raw materials or basic products used to produce other goods or deliver services. They often take center stage during inflationary periods,</strong> serving as a hedge against inflation. <link>Gold</link>, in particular, has an important psychological value <strong>as a hedge against economic uncertainty.</strong>",,Pendiente,
componentes/commodities,commodities,editorialText.left[0].paragraphs[1],"But other commodities can also signal shifts in economic cycles. A bottom and rise in copper prices - widely regarded as a barometer of economic health - may signal bearish conditions for bonds and utilities, which are sensitive to interest rate changes.","But other commodities can also signal shifts in economic cycles. A bottom and rise in copper prices - widely regarded as a barometer of economic health - may signal bearish conditions for bonds and utilities, which are sensitive to interest rate changes.",,Pendiente,
componentes/commodities,commodities,editorialText.left[0].paragraphs[2].linkPath,https://www.fxstreet.com/bonds,https://www.fxstreet.com/bonds,,Pendiente,
componentes/commodities,commodities,editorialText.left[0].paragraphs[2].text,"Energy prices impact the whole economy, besides having a psychological effect on inflation. Rising oil prices, for instance, act as a ""tax"" on the economy as it tends to slow growth prospects. This often turns into lower interest rates and higher <link>bond prices</link>.","Energy prices impact the whole economy, besides having a psychological effect on inflation. Rising oil prices, for instance, act as a ""tax"" on the economy as it tends to slow growth prospects. This often turns into lower interest rates and higher <link>bond prices</link>.",,Pendiente,
componentes/commodities,commodities,editorialText.left[0].title,Commodities Explained,Commodities Explained,,Pendiente,
componentes/commodities,commodities,editorialText.left[1].paragraphs[0],"Commodities, priced in US dollars, tend to have an inverse relationship with the USD. A strong USD often puts downward pressure on commodity prices, making them less attractive to investors.","Commodities, priced in US dollars, tend to have an inverse relationship with the USD. A strong USD often puts downward pressure on commodity prices, making them less attractive to investors.",,Pendiente,
componentes/commodities,commodities,editorialText.left[1].title,Commodities and the US Dollar,Commodities and the US Dollar,,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[0].linkPath,/commodities/gold,/commodities/gold,,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[0].text,"<strong>Precious metals:</strong> <link>Gold</link>, Silver, Platinum, and Palladium. Copper, despite being used primarily for industrial purposes, is usually also lumped into this category. Precious metals are very popular among Forex traders due to their perceived monetary value.","<strong>Precious metals:</strong> <link>Gold</link>, Silver, Platinum, and Palladium. Copper, despite being used primarily for industrial purposes, is usually also lumped into this category. Precious metals are very popular among Forex traders due to their perceived monetary value.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[1].linkPath,https://www.fxstreet.com/commodities/oil,https://www.fxstreet.com/commodities/oil,,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[1].text,"<strong>Energy:</strong> <link>Oil</link> is the most prone to supply shocks, political tensions in Oil-producing countries or regions, policies from the Organization of the Petroleum Exporting Countries (OPEC), and volatile demand from emerging countries. These factors create significant risks for those trading in this market. Higher Oil prices tend to negatively impact equities, raising the prospects of higher inflation and slower growth.","<strong>Energy:</strong> <link>Oil</link> is the most prone to supply shocks, political tensions in Oil-producing countries or regions, policies from the Organization of the Petroleum Exporting Countries (OPEC), and volatile demand from emerging countries. These factors create significant risks for those trading in this market. Higher Oil prices tend to negatively impact equities, raising the prospects of higher inflation and slower growth.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[2].text,"<strong>Grains:</strong> Grain prices fluctuate on the so-called crop year, with planting and harvesting forming tradable price cycles. However, those cycles are influenced by unpredictable weather conditions. Key <strong>agricultural</strong> commodities include Corn, Soybeans, Wheat and Oats.","<strong>Grains:</strong> Grain prices fluctuate on the so-called crop year, with planting and harvesting forming tradable price cycles. However, those cycles are influenced by unpredictable weather conditions. Key <strong>agricultural</strong> commodities include Corn, Soybeans, Wheat and Oats.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].bullets[3].text,"<strong>Soft commodities:</strong> This category includes coffee, orange juice, cocoa, sugar and cotton.","<strong>Soft commodities:</strong> This category includes coffee, orange juice, cocoa, sugar and cotton.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].paragraphs[0],"Similar to industry sectors in equity markets, the commodity market consists of several groups, each providing different economic signals.","Similar to industry sectors in equity markets, the commodity market consists of several groups, each providing different economic signals.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].paragraphs[1].linkPath,https://www.fxstreet.com/rates-charts/westtexasintermediate,https://www.fxstreet.com/rates-charts/westtexasintermediate,,Pendiente,
componentes/commodities,commodities,editorialText.left[2].paragraphs[1].text,"Some commodities, specifically the metals group, are considered <strong>tangible assets</strong> because they are non-perishable. Meanwhile, Silver and Gold have the advantage of consistent specifications across nations, unlike <link>Texas</link> and Brent crude Oil, which differ in composition.","Some commodities, specifically the metals group, are considered <strong>tangible assets</strong> because they are non-perishable. Meanwhile, Silver and Gold have the advantage of consistent specifications across nations, unlike <link>Texas</link> and Brent crude Oil, which differ in composition.",,Pendiente,
componentes/commodities,commodities,editorialText.left[2].title,Commodity groups,Commodity groups,,Pendiente,
componentes/commodities,commodities,editorialText.right[0].paragraphs[0],"<strong>Commodity currencies</strong> are said to be correlated with the price of commodities. The Australian dollar, the Canadian dollar and the New Zealand dollar are considered commodity currencies because the economies backed by the named currencies are <strong>sensitive to commodity valuations</strong>. In this light, be sure to factor in the global economic outlook when evaluating any of the commodity currencies. In any case, correlation is not causation and such relationships can and do break down.","<strong>Commodity currencies</strong> are said to be correlated with the price of commodities. The Australian dollar, the Canadian dollar and the New Zealand dollar are considered commodity currencies because the economies backed by the named currencies are <strong>sensitive to commodity valuations</strong>. In this light, be sure to factor in the global economic outlook when evaluating any of the commodity currencies. In any case, correlation is not causation and such relationships can and do break down.",,Pendiente,
componentes/commodities,commodities,editorialText.right[0].title,Commodity Currencies,Commodity Currencies,,Pendiente,
componentes/commodities,commodities,editorialText.right[1].paragraphs[0],"Being China a tremendous consumer of raw materials, and Australia <strong>a leading exporter of metals, coal and grains</strong>, market perceptions of strong demand from China could see the Australian dollar gain in sympathy with commodity prices. The boom in Asian regional growth over the past decade has supported the Australian economy, bringing with it higher levels of inflation. This explains why the RBA maintained higher interest rates than other major central banks.","Being China a tremendous consumer of raw materials, and Australia <strong>a leading exporter of metals, coal and grains</strong>, market perceptions of strong demand from China could see the Australian dollar gain in sympathy with commodity prices. The boom in Asian regional growth over the past decade has supported the Australian economy, bringing with it higher levels of inflation. This explains why the RBA maintained higher interest rates than other major central banks.",,Pendiente,
componentes/commodities,commodities,editorialText.right[1].paragraphs[1].linkPath,https://www.fxstreet.com/currencies/audusd,https://www.fxstreet.com/currencies/audusd,,Pendiente,
componentes/commodities,commodities,editorialText.right[1].paragraphs[1].text,Visit <link>a dedicated AUD/USD page</link>.,Visit <link>a dedicated AUD/USD page</link>.,,Pendiente,
componentes/commodities,commodities,editorialText.right[1].title,AUD,AUD,,Pendiente,
componentes/commodities,commodities,editorialText.right[2].paragraphs[0],"Canada <strong>is the fifth largest gold producer and fourteenth largest oil producer</strong>. Thereby, strong commodity prices generally benefit domestic producers and increase their income from exports. There is a caveat, though, and that is the positive correlation makes the Canadian dollar more expensive in USD terms. Since Canada's economy is very dependent on external demand from the United States, a strong CAD could filter into reduced demand for Canadian Exports.","Canada <strong>is the fifth largest gold producer and fourteenth largest oil producer</strong>. Thereby, strong commodity prices generally benefit domestic producers and increase their income from exports. There is a caveat, though, and that is the positive correlation makes the Canadian dollar more expensive in USD terms. Since Canada's economy is very dependent on external demand from the United States, a strong CAD could filter into reduced demand for Canadian Exports.",,Pendiente,
componentes/commodities,commodities,editorialText.right[2].paragraphs[1].linkPath,https://www.fxstreet.com/currencies/usdcad,https://www.fxstreet.com/currencies/usdcad,,Pendiente,
componentes/commodities,commodities,editorialText.right[2].paragraphs[1].text,Visit <link>a dedicated USD/CAD page</link>.,Visit <link>a dedicated USD/CAD page</link>.,,Pendiente,
componentes/commodities,commodities,editorialText.right[2].title,CAD,CAD,,Pendiente,
componentes/commodities,commodities,editorialText.right[3].paragraphs[0].linkPath,https://www.fxstreet.com/technical-analysis/sentiment/risk-appetite,https://www.fxstreet.com/technical-analysis/sentiment/risk-appetite,,Pendiente,
componentes/commodities,commodities,editorialText.right[3].paragraphs[0].text,"New Zealand <strong>is primarily an agricultural-commodity-producing economy</strong> (dairy products and meat in particular), and therefore it displays a weaker correlation than CAD and AUD to metal and energy prices. But still, it is highly sensitive to global performance, especially of its key trading partners, Australia, United States and Japan. It's commodity currency status is also to be understood via its dependency on the Australian economy, and since Australia is very commodity driven, any changes affecting the Australian economy affect New Zealand as well. Against the Japanese yen, the NZD can bee regarded as a <link>risk barometer</link>.","New Zealand <strong>is primarily an agricultural-commodity-producing economy</strong> (dairy products and meat in particular), and therefore it displays a weaker correlation than CAD and AUD to metal and energy prices. But still, it is highly sensitive to global performance, especially of its key trading partners, Australia, United States and Japan. It's commodity currency status is also to be understood via its dependency on the Australian economy, and since Australia is very commodity driven, any changes affecting the Australian economy affect New Zealand as well. Against the Japanese yen, the NZD can bee regarded as a <link>risk barometer</link>.",,Pendiente,
componentes/commodities,commodities,editorialText.right[3].title,NZD,NZD,,Pendiente,
componentes/commodities,commodities,editorialText.right[4].paragraphs[0].linkPath,https://www.bis.org/,https://www.bis.org/,,Pendiente,
componentes/commodities,commodities,editorialText.right[4].paragraphs[0].text,"The <strong>Bullish Percentage Index</strong> compares the four majors against the 21 most traded currencies (according to the <link>BIS statistics</link>). Among these currencies are the Korean Won, the Mexican Peso, the Turkish Lira, the Brazilian Real, etc. It shows the percentage of currency crosses on buy signals on Point and Figure charts. Point and Figure charts have the particularity of being objectively bullish or bearish, depending on the most recent double-top/bottom buy or sell signal. The Bullish Percentage Index is <strong>a breadth indicator</strong> used in stock indices, and its logic has been adopted by FXStreet.com to measure currency strength.","The <strong>Bullish Percentage Index</strong> compares the four majors against the 21 most traded currencies (according to the <link>BIS statistics</link>). Among these currencies are the Korean Won, the Mexican Peso, the Turkish Lira, the Brazilian Real, etc. It shows the percentage of currency crosses on buy signals on Point and Figure charts. Point and Figure charts have the particularity of being objectively bullish or bearish, depending on the most recent double-top/bottom buy or sell signal. The Bullish Percentage Index is <strong>a breadth indicator</strong> used in stock indices, and its logic has been adopted by FXStreet.com to measure currency strength.",,Pendiente,
componentes/commodities,commodities,editorialText.right[4].paragraphs[1],"The index can be read as an <strong>oscillator</strong>, with readings between 0% and 100%. It is <strong>updated on a daily basis</strong>, on GMT close, and compared to the same data 5 days ago.","The index can be read as an <strong>oscillator</strong>, with readings between 0% and 100%. It is <strong>updated on a daily basis</strong>, on GMT close, and compared to the same data 5 days ago.",,Pendiente,
componentes/commodities,commodities,editorialText.right[4].title,How bullish are commodity currencies and the USD against a basket of 21 world currencies?,How bullish are commodity currencies and the USD against a basket of 21 world currencies?,,Pendiente,
componentes/commodities,commodities,pageTitle,Commodities Market,Mercado de materias primas,,Pendiente,
componentes/commodities,commodities,seo.description,"Follow the S&P WCI, the USD index and commodity currencies with charts, news and analysis.","Sigue el S&P WCI, el índice del dólar y las divisas commodity con gráficos, noticias y análisis.",,Pendiente,
componentes/commodities,commodities,seo.title,Commodities FX Related,Materias primas relacionadas con FX,,Pendiente,
