Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/account,account,additionalData.details.country,Which country are you based in?,¿En qué país resides?,,Pendiente,
componentes/account,account,additionalData.details.countryEmpty,No country found,No se ha encontrado ningún país,,Pendiente,
componentes/account,account,additionalData.details.countryPlaceholder,Select your country,Selecciona tu país,,Pendiente,
componentes/account,account,additionalData.details.countrySearch,Search country,Buscar país,,Pendiente,
componentes/account,account,additionalData.details.description,Your account has been verified. Help us personalize your experience.,Tu cuenta ha sido verificada. Ayúdanos a personalizar tu experiencia.,,Pendiente,
componentes/account,account,additionalData.details.name,What is your name?,¿Cómo te llamas?,,Pendiente,
componentes/account,account,additionalData.details.namePlaceholder,Enter your user name,Introduce tu nombre de usuario,,Pendiente,
componentes/account,account,additionalData.details.phone,Phone number,Número de teléfono,,Pendiente,
componentes/account,account,additionalData.details.phonePlaceholder,Enter your phone number,Introduce tu número de teléfono,,Pendiente,
componentes/account,account,additionalData.details.title,Personalize your account,Personaliza tu cuenta,,Pendiente,
componentes/account,account,additionalData.metaDescription,Tell us a little about yourself to personalize your experience.,Cuéntanos un poco sobre ti para personalizar tu experiencia.,,Pendiente,
componentes/account,account,additionalData.metaTitle,Personalize your FXStreet account,Personaliza tu cuenta de FXStreet,,Pendiente,
componentes/account,account,additionalData.newsletters.description,Stay up to date getting the most important news of the day and our exclusive offers direct to your inbox.,Mantente al día con las noticias más importantes del día y nuestras ofertas exclusivas directamente en tu bandeja de entrada.,,Pendiente,
componentes/account,account,additionalData.newsletters.subscribeAll,Subscribe to all,Suscribirse a todo,,Pendiente,
componentes/account,account,additionalData.newsletters.title,Setup Email subscriptions,Configura las suscripciones de correo,,Pendiente,
componentes/account,account,additionalData.newsletters.unsubscribeAll,Unsubscribe from all,Cancelar todas las suscripciones,,Pendiente,
componentes/account,account,additionalData.next,Next,Siguiente,,Pendiente,
componentes/account,account,additionalData.optional,(Optional),(Opcional),,Pendiente,
componentes/account,account,additionalData.progress,Step {current} of {total}: {label},Paso {current} de {total}: {label},,Pendiente,
componentes/account,account,additionalData.ready.cta,Go to FXStreet,Ir a FXStreet,,Pendiente,
componentes/account,account,additionalData.ready.description,"Continue exploring any of these tools now, or find them anytime from the top menu.","Explora cualquiera de estas herramientas ahora, o encuéntralas en cualquier momento en el menú superior.",,Pendiente,
componentes/account,account,additionalData.ready.shortcuts.brokers.description,Compare our most trusted trading partners,Compara nuestros socios de trading más fiables,,Pendiente,
componentes/account,account,additionalData.ready.shortcuts.brokers.title,Brokers list,Lista de brókeres,,Pendiente,
componentes/account,account,additionalData.ready.shortcuts.calendar.description,Track market moving events in real time,Sigue los eventos que mueven el mercado en tiempo real,,Pendiente,
